"Titulo","Link","Data","Nota_Escala","Descricao_Nota","Justificativa","Passagens_Relevantes"
"Discurso proferido pelo Ministro de Estado das Relações Exteriores, Luiz Alberto Figueiredo Machado, na sessão de abertura dos ""Diálogos sobre Política Externa"" - Palácio Itamaraty, 26 de fevereiro de 2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/discurso-proferido-pelo-ministro-de-estado-das-relacoes-exteriores-luiz-alberto-figueiredo-machado-na-sessao-de-abertura-dos-dialogos-sobre-politica-externa-palacio-itamaraty-26-de-fevereiro-de-2014","26/02/2014","1","Soberania Digital - Soberania do Estado, garantias democráticas, direitos fundamentais, multilateralismo, multissetorialismo","A nota orienta-se pela defesa da soberania digital, de direitos e/ou do multilateralismo, aproximando-se do polo soberanista da escala. O posicionamento evidencia-se em trechos como: ""O mundo tem passado por transformações significativas, e o lugar do Brasil no mundo mudou. Essas transformações incidem sobre a própria distribuição do poder mu""","O mundo tem passado por transformações significativas, e o lugar do Brasil no mundo mudou. Essas transformações incidem sobre a própria distribuição do poder mundial. Desenham-se os contornos de uma configuração multipolar da geopolítica e da geoeconomia mundial. A desconcentração do poder econômico... | Na agenda internacional, ampliou-se a diversidade de temas e hoje coexistem uma agenda clássica de política externa, com questões ligadas à paz e à segurança internacionais, à integração regional, aos relacionamentos políticos bilaterais e à diplomacia econômica; e uma nova agenda de política extern... | Intensificam-se também os desafios de aperfeiçoamento das regras e instituições de governança que fundamentam a ordem internacional, como a reforma do Conselho de Segurança da ONU, que ainda reflete a configuração geopolítica de 1945; a conclusão da Rodada Doha iniciada em 2001 e o fortalecimento da..."
"Declaração Conjunta dos Ministros de Relações Exteriores do Reino da Espanha e da República Federativa do Brasil – Madri, 18 de março de 2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-conjunta-dos-ministros-de-relacoes-exteriores-do-reino-da-espanha-e-da-republica-federativa-do-brasil-madri-18-de-marco-de-2014","18/03/2014","2","Predominantemente Soberanista - Foco principal na soberania e direitos, com alguma abertura para inovação","A nota orienta-se pela defesa da soberania digital, de direitos e/ou do multilateralismo, aproximando-se do polo soberanista da escala. O posicionamento evidencia-se em trechos como: ""5. Os Ministros sublinharam a importância das relações econômicas e comerciais entre Brasil e Espanha. A Espanha é o segundo maior investidor estrangeiros no Br""","5. Os Ministros sublinharam a importância das relações econômicas e comerciais entre Brasil e Espanha. A Espanha é o segundo maior investidor estrangeiros no Brasil, e o Brasil é o principal destino de novos investimentos espanhóis no exterior. O fluxo comercial bilateral segue crescendo e o Brasil ... | 6. Ambos os Ministros felicitaram-se pelos resultados da recente reunião, celebrada em Brasília em 13 de Março, dos Grupos de Trabalho sobre Investimentos e Comércio, e sobre Infraestruturas e Transportes. Nesse sentido, reafirmaram a relevância do setor privado na relação bilateral e a colaboração ... | 13. No plano multilateral, os Ministros mostraram-se dispostos a trabalhar em estreita colaboração a fim de enfrentar os novos desafios globais. Os Ministros mencionaram, entre outros temas, a governança da Internet, e se referiram à Reunião Multissetorial Global sobre o Futuro da Governança da Inte..."
"Visita do Ministro das Relações Exteriores à Alemanha – Berlim, 21 de março de 2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-do-ministro-das-relacoes-exteriores-a-alemanha-berlim-21-de-marco-de-2014","20/03/2014","3","Modelo Misto - Equilíbrio entre soberania/direitos e desenvolvimento/inovação (não puramente mercantil)","A nota apresenta equilíbrio entre a proteção da soberania/direitos e o desenvolvimento/abertura para inovação (modelo misto). O posicionamento evidencia-se em trechos como: ""Os dois Ministros examinarão o aprofundamento da Parceria Estratégica Brasil-Alemanha. Tratarão da ampliação do fluxo bilateral de comércio e investimentos, bem""","Os dois Ministros examinarão o aprofundamento da Parceria Estratégica Brasil-Alemanha. Tratarão da ampliação do fluxo bilateral de comércio e investimentos, bem como examinarão os principais temas da agenda bilateral, inclusive cooperação em inovação, educação, energia e defesa. | Os Ministros discutirão, igualmente, a reforma das instituições de governança global e temas da agenda de paz e segurança internacionais. Examinarão, ademais, temas afetos ao meio ambiente e à segurança das comunicações eletrônicas. Em dezembro de 2013, a Assembleia Geral da ONU adotou, por consenso..."
"Visita ao Brasil do Ministro dos Negócios Estrangeiros da Noruega, Børge Brende - Rio de Janeiro e Brasília, 19 e 20 de fevereiro de 2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-ao-brasil-do-ministro-dos-negocios-estrangeiros-da-noruega-borge-brende-rio-de-janeiro-e-brasilia-19-e-20-de-fevereiro-de-2014","20/04/2014","2","Predominantemente Soberanista - Foco principal na soberania e direitos, com alguma abertura para inovação","A nota orienta-se pela defesa da soberania digital, de direitos e/ou do multilateralismo, aproximando-se do polo soberanista da escala. O posicionamento evidencia-se em trechos como: ""O Ministro dos Negócios Estrangeiros da Noruega, Børge Brende, visitará o Brasil nos dias 19 e 20 de fevereiro. O Chanceler norueguês cumprirá programação em Br""","O Ministro dos Negócios Estrangeiros da Noruega, Børge Brende, visitará o Brasil nos dias 19 e 20 de fevereiro. O Chanceler norueguês cumprirá programação em Brasília e no Rio de Janeiro. Em Brasília, no dia 20, manterá encontro de trabalho com o Ministro das Relações Exteriores, Luiz Alberto Figuei... | Os Chanceleres tratarão da ampliação dos fluxos bilaterais de comércio e de investimentos, bem como examinarão os principais temas da agenda bilateral, inclusive cooperação em energia, inovação, educação e pesca e aquicultura. | Também serão discutidas a reforma das instituições de governança global e temas da agenda de paz e segurança internacionais, entre as quais a situação na Síria e no Oriente Médio. Os Chanceleres examinarão, ademais, questões relacionadas ao meio ambiente e ao direito à privacidade na era digital."
"Documentos assinados por ocasião da VII Cúpula Brasil–União Europeia – Bruxelas, 24 de fevereiro de 2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/documentos-assinados-por-ocasiao-da-vii-cupula-brasil-uniao-europeia-bruxelas-24-de-fevereiro-de-2014","20/04/2014","5","Baixa Intervenção Estatal - Inovação livre, autorregulação, lógica mercantil","A nota enfatiza inovação, abertura de mercado ou autorregulação, aproximando-se do polo de baixa intervenção estatal. O posicionamento evidencia-se em trechos como: ""O Ministro das Relações Exteriores (MRE), Embaixador Luiz Alberto Figueiredo Machado;
  
  O Ministro do Desenvolvimento, Indústria e Comércio Exterior (MDIC), ""","O Ministro das Relações Exteriores (MRE), Embaixador Luiz Alberto Figueiredo Machado;
  
  O Ministro do Desenvolvimento, Indústria e Comércio Exterior (MDIC), Mauro Borges; e
  
  O Ministro da Ciência, Tecnologia e Inovação (MCTI), Marco Antonio Raupp;
  
  e ainda
  
  O Vice-Presidente da Comiss... | 1. O objetivo do GT Ad Hoc é desenvolver a cooperação económica entre as Partes, dando ênfase aos investimentos e à competitividade, e proporcionar um fórum temporário para o diálogo econômico e comercial entre o Brasil e a União Europeia.
  
  2. O fórum econômico deve abordar questões econômicas e... | 1. O GT Ad Hoc procurará organizar uma reunião de alto nível, com a participação, em representação do Brasil, do Ministro de Estado das Relações Exteriores (MRE), do Ministro de Estado do Desenvolvimento, Indústria e Comércio Exterior (MDIC) e do Ministro de Estado da Ciência, Tecnologia e Inovação ..."
"VII Cúpula Brasil–União Europeia - Bruxelas, 24 de fevereiro de 2014 - Comunicado Conjunto","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/vii-cupula-brasil-uniao-europeia-bruxelas-24-de-fevereiro-de-2014-comunicado-conjunto","20/04/2014","2","Predominantemente Soberanista - Foco principal na soberania e direitos, com alguma abertura para inovação","A nota orienta-se pela defesa da soberania digital, de direitos e/ou do multilateralismo, aproximando-se do polo soberanista da escala. O posicionamento evidencia-se em trechos como: ""5. We also agreed to strengthen our bilateral political dialogue in order to converge further on the global agenda and on our positions in international fora. I""","5. We also agreed to strengthen our bilateral political dialogue in order to converge further on the global agenda and on our positions in international fora. In that context, we reiterated the importance of a strong and effective multilateral UN system, based upon international law. | 13. We welcomed the outcome of the 9th WTO Ministerial Conference in December 2013 and emphasised the importance of building on this success to provide for a new impulse to multilateral negotiations. We confirmed our commitment to a timely and ambitious implementation of the Conference results, incl... | 23. We agreed on the importance of an effective multilateral system, centred on a strong United ations, as a key factor in the tackling of global challenges. We reaffirmed the need for a comprehensive reform of the UN, including its Security Council, with a view to making it more representative and ..."
"Reino Unido sedia reunião de Diálogo Estratégico com o Brasil","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/reino-unido-sedia-reuniao-de-dialogo-estrategico-com-o-brasil","22/05/2014","2","Predominantemente Soberanista - Foco principal na soberania e direitos, com alguma abertura para inovação","A nota orienta-se pela defesa da soberania digital, de direitos e/ou do multilateralismo, aproximando-se do polo soberanista da escala. O posicionamento evidencia-se em trechos como: ""“Nesse encontro de hoje em Londres, damos seguimento ao Diálogo Estratégico lançado ano passado em Brasília, fundamentado nas múltiplas e sólidas convergências ""","“Nesse encontro de hoje em Londres, damos seguimento ao Diálogo Estratégico lançado ano passado em Brasília, fundamentado nas múltiplas e sólidas convergências que nos unem. Compartilhamos muitos valores e interesses, mas também acreditamos que a complexidade dos desafios globais requer uma diversid... | Os Ministros concordaram, igualmente, com a importância de avançar nas discussões sobre questões de política comercial e manifestaram expectativa com a próxima reunião do Comitê Conjunto de Assuntos Econômico-Comerciais (JETCO), entre os Ministros do Comércio dos dois países, a ter lugar no Brasil a..."
"VI Cúpula BRICS – Declaração de Fortaleza – 15 de julho de 2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/vi-cupula-brics-declaracao-de-fortaleza-15-de-julho-de-2014","15/07/2014","1","Soberania Digital - Soberania do Estado, garantias democráticas, direitos fundamentais, multilateralismo, multissetorialismo","A nota orienta-se pela defesa da soberania digital, de direitos e/ou do multilateralismo, aproximando-se do polo soberanista da escala. O posicionamento evidencia-se em trechos como: ""1. Nós, os líderes da República Federativa do Brasil, da Federação Russa, da República da Índia, da República Popular da China e da República da África do Sul, ""","1. Nós, os líderes da República Federativa do Brasil, da Federação Russa, da República da Índia, da República Popular da China e da República da África do Sul, reunimo-nos em Fortaleza, Brasil, em 15 de julho de 2014 na VI Cúpula do BRICS. Para inaugurar o segundo ciclo de Cúpulas do BRICS, o tema e... | 2. Reunião de Altos Representantes Responsáveis por Segurança Nacional do BRICS  3. Reunião intermediária de Sherpas e Sub-Sherpas do BRICS. 4. Reuniões de Ministros das Finanças e Presidentes de Banco Central do BRICS à margem de reuniões do G20, reuniões do Banco Mundial/FMI, bem como reuniões esp..."
"Declaração conjunta entre Brasil e China por ocasião da visita de Estado do presidente Xi Jinping – Brasília, 17 de julho de 2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-conjunta-entre-brasil-e-china-por-ocasiao-da-visita-de-estado-do-presidente-xi-jinping-brasilia-17-de-julho-de-2014","17/07/2014","2","Predominantemente Soberanista - Foco principal na soberania e direitos, com alguma abertura para inovação","A nota orienta-se pela defesa da soberania digital, de direitos e/ou do multilateralismo, aproximando-se do polo soberanista da escala. O posicionamento evidencia-se em trechos como: ""4. Os dois Mandatários observaram que a elevação das relações bilaterais ao nível de Parceria Estratégica Global e o estabelecimento do Diálogo Estratégico Glob""","4. Os dois Mandatários observaram que a elevação das relações bilaterais ao nível de Parceria Estratégica Global e o estabelecimento do Diálogo Estratégico Global refletem a crescente importância da agenda sino-brasileira no plano bilateral e em sua crescente dimensão plurimultilateral. Comprometera... | COMÉRCIO E INVESTIMENTOS | 8. Os dois Presidentes saudaram a expressiva trajetória dos fluxos bilaterais de comércio e investimentos entre Brasil e China. Recordaram que o intercâmbio comercial alcançou nível recorde em 2013 e sublinharam o expressivo aumento dos fluxos de investimento. Comprometeram-se a continuar a estimula..."
"Relatório da Alta Comissária para Direitos Humanos da ONU sobre ""O Direito à Privacidade na Era Digital""","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/relatorio-da-alta-comissaria-para-direitos-humanos-da-onu-sobre-o-direito-a-privacidade-na-era-digital","22/07/2014","1","Soberania Digital - Soberania do Estado, garantias democráticas, direitos fundamentais, multilateralismo, multissetorialismo","A nota orienta-se pela defesa da soberania digital, de direitos e/ou do multilateralismo, aproximando-se do polo soberanista da escala. O posicionamento evidencia-se em trechos como: ""O Governo brasileiro manifesta satisfação com a divulgação, em 16/7, em Genebra, pela Alta Comissária para os Direitos Humanos das Nações Unidas, Navi Pillay, d""","O Governo brasileiro manifesta satisfação com a divulgação, em 16/7, em Genebra, pela Alta Comissária para os Direitos Humanos das Nações Unidas, Navi Pillay, do relatório ""O direito à privacidade na era digital"". Trata-se de resposta à solicitação da resolução apresentada por Brasil e Alemanha dura... | O relatório será apresentado ao Conselho de Direitos Humanos em sua 27ª Sessão, em setembro próximo, e à Assembleia Geral da ONU em sua 69ª Sessão, em outubro vindouro."
