"Titulo","Data","Link","Justificativa","Passagens_Relevantes"
"Declaração de Líderes do BRICS — Rio de Janeiro, 06 de julho de 2025","06/07/2025","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-de-lideres-do-brics-2014-rio-de-janeiro-06-de-julho-de-2025","A nota aborda governança global digital, LGPD e proteção de dados e soberania digital e multilateralismo e ONU, temas centrais da pesquisa sobre posicionamento do MRE na governança global digital. Contém informações qualitativas sobre posicionamentos, ações ou articulações do Ministério em foros internacionais e políticas domésticas correlatas. Trechos relevantes demonstram a atuação concreta do MRE nesses temas.","66. Recognizing the central role of data to modern life as a catalyst for innovation-driven development and the formulation of informed and inclusive public policies, we reaffirm the need for a common and principle-based interoperable framework on data governance, including respect for national data... | 106. We take note with appreciation of the progress achieved during the XV BRICS Health Ministers’ Meeting, held in Brasília on June 17, 2025, and the commitments made to strengthen health cooperation. We welcome fostering closer ties among BRICS health institutions and support the initiatives of t... | 16. We recognize that Artificial Intelligence (AI) represents a milestone opportunity to boost development towards a more prosperous future. To achieve that goal, we underscore that global governance of AI should mitigate potential risks and address the needs of all countries, including those of the..."
"Declaração conjunta entre Brasil e China por ocasião da visita de Estado do presidente Xi Jinping – Brasília, 17 de julho de 2014","17/07/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-conjunta-entre-brasil-e-china-por-ocasiao-da-visita-de-estado-do-presidente-xi-jinping-brasilia-17-de-julho-de-2014","A nota aborda governança global digital, LGPD e proteção de dados e multilateralismo e ONU e governança multissetorial, temas centrais da pesquisa sobre posicionamento do MRE na governança global digital. Contém informações qualitativas sobre posicionamentos, ações ou articulações do Ministério em foros internacionais e políticas domésticas correlatas. Trechos relevantes demonstram a atuação concreta do MRE nesses temas.","35. Os dois Dignitários manifestaram sua preocupação com o uso de tecnologias da informação e da comunicação em atos contrários à manutenção da paz e segurança internacional e prejudiciais aos direitos de privacidade. Coincidiram na necessidade de cooperação para lidar com as ameaças à segurança cib... | 36. Os dois Presidentes trocaram impressões sobre os resultados da Reunião Multissetorial Global sobre o Futuro da Governança da Internet – NETmundial (São Paulo, 23 e 24 de abril de 2014) e concordaram em aprofundar o diálogo bilateral sobre temas relativos à governança da Internet. A Parte brasile... | 4. Os dois Mandatários observaram que a elevação das relações bilaterais ao nível de Parceria Estratégica Global e o estabelecimento do Diálogo Estratégico Global refletem a crescente importância da agenda sino-brasileira no plano bilateral e em sua crescente dimensão plurimultilateral. Comprometera..."
"XVI Cúpula do BRICS – Kazan, Rússia, 22 a 24 de outubro de 2024 - Declaração Final","23/10/2024","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/xvi-cupula-do-brics-2013-kazan-russia-22-a-24-de-outubro-de-2024-declaracao-final","A nota aborda governança global digital, LGPD e proteção de dados e multilateralismo e ONU e governança multissetorial, temas centrais da pesquisa sobre posicionamento do MRE na governança global digital. Contém informações qualitativas sobre posicionamentos, ações ou articulações do Ministério em foros internacionais e políticas domésticas correlatas. Trechos relevantes demonstram a atuação concreta do MRE nesses temas.","71.    Concerned with the fast-paced digitalization process of all aspects of human life in the 21st century, we underscore the key role of data for development and the need to intensify the engagement within BRICS to address this issue. We highlight that fair, inclusive and equitable governance of ... | 78.    Recognising that the rapid technological change, including the rapid advancement of Artificial Intelligence has the potential to bring new opportunities for socioeconomic development around the globe, we encourage more international discussions, we support the United Nations to play an import... | 77. Reconhecendo a importância da criação de uma economia digital capacitadora, inclusiva e segura e que a conectividade digital é um pré-requisito essencial para a transformação digital, bem como para o crescimento social e econômico, enfatizamos a necessidade de fortalecer a cooperação e..."
"Documentos aprovados na XLVI Cúpula de Chefes de Estado do MERCOSUL e Estados Associados – Caracas, 29 de julho de 2014","07/08/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/documentos-aprovados-na-xlvi-cupula-de-chefes-de-estado-do-mercosul-e-estados-associados-caracas-29-de-julho-de-2014","A nota aborda governança global digital, LGPD e proteção de dados e multilateralismo e ONU e governança multissetorial, temas centrais da pesquisa sobre posicionamento do MRE na governança global digital. Contém informações qualitativas sobre posicionamentos, ações ou articulações do Ministério em foros internacionais e políticas domésticas correlatas. Trechos relevantes demonstram a atuação concreta do MRE nesses temas.","Destacaram a realização da Reunião Global de Múltiplas Partes Interessadas sobre o Futuro da Governança da Internet (Net Mundial, São Paulo, 23 e 24 de abril de 2014) e a aprovação de sua Declaração Multissetorial. | 12. Parabenizaram o Brasil pela Reunião de Múltiplas Partes Interessadas sobre o Futuro da Governança da Internet (NET mundial), realizada em 23 e 24 de abril de 2014, e acolheram a Declaração da NET mundial, reforçando seu compromisso com a promoção de uma Internet livre, aberta, segura, inclusiva ... | Reiteraram seu repúdio ao estabelecimento de sistemas de espionagem e a qualquer ação que quebrante o direito à privacidade da informação tanto estatal quanto individual, bem como à interceptação ilegal ou arbitrária das comunicações ou coleta ilegal ou arbitrária de dados pessoais, pois tudo isso s..."
"Discurso proferido pela Presidenta da República, Dilma Rousseff, na abertura do Debate de Alto Nível da 69ª Assembleia Geral das Nações Unidas (ONU) – Nova York, 24 de setembro de 2014","08/10/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/discurso-proferido-pela-presidenta-da-republica-dilma-rousseff-na-abertura-do-debate-de-alto-nivel-da-69-assembleia-geral-das-nacoes-unidas-onu-nova-york-24-de-setembro-de-2014","A nota aborda governança global digital, Marco Civil da Internet e LGPD e proteção de dados e multilateralismo e ONU, temas centrais da pesquisa sobre posicionamento do MRE na governança global digital. Contém informações qualitativas sobre posicionamentos, ações ou articulações do Ministério em foros internacionais e políticas domésticas correlatas. Trechos relevantes demonstram a atuação concreta do MRE nesses temas.","Noto, com satisfação, que a comunidade internacional tem se mobilizado, desde então, para aprimorar a atual arquitetura de governança da internet. Passo importante nesse processo foi a realização, por iniciativa do Brasil, da Reunião Multissetorial Global sobre o Futuro da Governança da Internet - a... | O Brasil e a Alemanha provocaram essa importante discussão em 2013 e queremos aprofundá-la nesta Sessão. Servirá de base para a avaliação do tema o relatório elaborado pela Alta Comissária de Direitos Humanos. Em setembro de 2013, propus aqui, no debate geral, a criação de um marco civil para a gove... | É indispensável tomar medidas que protejam eficazmente os direitos humanos tanto no mundo real como no mundo virtual, como preconiza a resolução desta Assembleia sobre a privacidade na era digital."
"VII Cúpula do BRICS – Declaração de Ufá – Ufá, Rússia, 9 de julho de 2015","09/07/2015","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/vii-cupula-do-brics-declaracao-de-ufa-ufa-russia-9-de-julho-de-2015","A nota aborda governança global digital, LGPD e proteção de dados e soberania digital e multilateralismo e ONU, temas centrais da pesquisa sobre posicionamento do MRE na governança global digital. Contém informações qualitativas sobre posicionamentos, ações ou articulações do Ministério em foros internacionais e políticas domésticas correlatas. Trechos relevantes demonstram a atuação concreta do MRE nesses temas.","Apoiamos a evolução contínua do ecossistema de governança da Internet, o qual deve se basear em processo aberto e democrático, livre da influência de quaisquer considerações unilaterais. | We support the evolution of the Internet governance ecosystem, which should be based on an open and democratic process, free from the influence of any unilateral considerations. | Reconhecemos a necessidade urgente de fortalecer ainda mais a cooperação em áreas de TICs, inclusive a Internet, que sejam do interesse de nossos países. Nesse contexto, decidimos constituir um grupo de trabalho do BRICS sobre cooperação em TICs. Reiteramos a inadmissibilidade do uso de TICs e da In..."
"VI Cúpula BRICS – Declaração de Fortaleza – 15 de julho de 2014","15/07/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/vi-cupula-brics-declaracao-de-fortaleza-15-de-julho-de-2014","A nota aborda governança global digital, LGPD e proteção de dados e soberania digital e multilateralismo e ONU, temas centrais da pesquisa sobre posicionamento do MRE na governança global digital. Contém informações qualitativas sobre posicionamentos, ações ou articulações do Ministério em foros internacionais e políticas domésticas correlatas. Trechos relevantes demonstram a atuação concreta do MRE nesses temas.","1. Nós, os líderes da República Federativa do Brasil, da Federação Russa, da República da Índia, da República Popular da China e da República da África do Sul, reunimo-nos em Fortaleza, Brasil, em 15 de julho de 2014 na VI Cúpula do BRICS. Para inaugurar o segundo ciclo de Cúpulas do BRICS, o tema e... | 2. Reunião de Altos Representantes Responsáveis por Segurança Nacional do BRICS  3. Reunião intermediária de Sherpas e Sub-Sherpas do BRICS. 4. Reuniões de Ministros das Finanças e Presidentes de Banco Central do BRICS à margem de reuniões do G20, reuniões do Banco Mundial/FMI, bem como reuniões esp..."
"Declaração Conjunta sobre a Aliança Digital América Latina e Caribe - União Europeia","17/07/2023","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-conjunta-sobre-a-alianca-digital-america-latina-e-caribe-uniao-europeia-traducao-nao-oficial","A nota aborda governança global digital, LGPD e proteção de dados e multilateralismo e ONU e governança multissetorial, temas centrais da pesquisa sobre posicionamento do MRE na governança global digital. Contém informações qualitativas sobre posicionamentos, ações ou articulações do Ministério em foros internacionais e políticas domésticas correlatas. Trechos relevantes demonstram a atuação concreta do MRE nesses temas.","The EU-LAC Digital Alliance promotes cooperation on a wide range of digital issues, including digital policy dialogue, internet governance, data governance, infrastructure, connectivity, security, data protection, artificial intelligence and other new emerging digital technologies, skills developmen... | A Aliança Digital ALC-UE baseia-se em uma visão comum da economia e sociedade digitais, centrada no ser humano, em que o projeto, o desenvolvimento, a governança e o uso da tecnologia são orientados pelos direitos humanos universais e pelas liberdades fundamentais. Essa visão inclui o estado de... | Temos o firme compromisso de eliminar as lacunas e hiatos digitais, promover a coesão social, a igualdade racial e de gênero, o empoderamento dos jovens e uma sociedade e economia digitais inclusivas, que não deixem ninguém para trás. Isso inclui o fornecimento de conectividade digital segura, ..."
"Comunicado Conjunto das Presidentas e dos Presidentes dos Estados Partes do MERCOSUL – Brasília, 17 de julho de 2015","18/07/2015","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/comunicado-conjunto-das-presidentas-e-dos-presidentes-dos-estados-partes-do-mercosul-brasilia-17-de-julho-de-2015","A nota aborda LGPD e proteção de dados, multilateralismo e ONU e governança multissetorial e direitos humanos online, temas centrais da pesquisa sobre posicionamento do MRE na governança global digital. Contém informações qualitativas sobre posicionamentos, ações ou articulações do Ministério em foros internacionais e políticas domésticas correlatas. Trechos relevantes demonstram a atuação concreta do MRE nesses temas.","45. Saudaram os resultados da I Reunião de Autoridades sobre Privacidade e Segurança da Informação do MERCOSUL, realizada em Brasília, em 27 de abril de 2015, que deu margem à elaboração de plano de trabalho voltado a estabelecer cooperação em matéria de segurança cibernética e a fortalecer as capac... | 38. Consideraram muito positivo o trabalho que vem sendo desenvolvido no âmbito do Comitê Ad Hoc das Nações Unidas sobre Restruturação da Dívida Soberana, estabelecido por meio da Resolução AG/68/304(2014), com vistas ao estabelecimento de um marco jurídico multilateral para os processos de reestrut... | 50. Saudaram a criação, pelos Ministros da Saúde dos Estados Partes do MERCOSUL, de grupo de trabalho com o objetivo de definir formas de viabilizar a compra conjunta de medicamentos pelos Governos do bloco, instrumento relevante para garantir o acesso universal a medicamentos."
"Reunião de ministros das Relações Exteriores do IBAS à margem da 79ª AGNU – Nova York, 26 de setembro de 2024 – comunicado à imprensa","26/09/2024","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/reuniao-de-ministros-das-relacoes-exteriores-do-ibas-a-margem-da-79a-agnu-2013-nova-york-26-de-setembro-de-2024-2013-comunicado-a-imprensa","A nota aborda governança global digital, LGPD e proteção de dados e multilateralismo e ONU e governança multissetorial, temas centrais da pesquisa sobre posicionamento do MRE na governança global digital. Contém informações qualitativas sobre posicionamentos, ações ou articulações do Ministério em foros internacionais e políticas domésticas correlatas. Trechos relevantes demonstram a atuação concreta do MRE nesses temas.","52. Regarding both the GDC and the WSIS+20 revision process as opportunities to consolidate and update the development perspective enshrined in Geneva and Tunis and to discuss innovative multilateral and multistakeholder arrangements, leading to collective action and effective global digital governa... | 50. The Ministers welcomed the adoption of the Global Digital Compact and underlined the need to promote strengthened international cooperation that closes all digital divides between and within countries to ensure an inclusive, open, sustainable, fair, safe and secure digital future for all. The Mi... | 53. Concerned with the fast-paced digitalization process of all aspects of human life in the 21st. century, Ministers emphasized the key role of data for development and the need to broaden the scope of global discussions with a view to overcome the digital and technological divides. The Ministers u..."
"Declaração dos Líderes do G20 Roma","02/11/2021","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-dos-lideres-do-g20-roma","A nota aborda LGPD e proteção de dados, multilateralismo e ONU e governança multissetorial e direitos humanos online, temas centrais da pesquisa sobre posicionamento do MRE na governança global digital. Contém informações qualitativas sobre posicionamentos, ações ou articulações do Ministério em foros internacionais e políticas domésticas correlatas. Trechos relevantes demonstram a atuação concreta do MRE nesses temas.","8. Reafirmamos a importância de garantir a continuidade dos serviços de saúde além do COVID-19 e de fortalecer os sistemas nacionais de saúde e os serviços de atenção primária à saúde, à luz das repercussões da pandemia na saúde mental e bem-estar, devido ao isolamento, desemprego , in... | 51. Reconhecendo a importância do uso eficiente de ferramentas digitais nas administrações públicas, continuaremos a promover estruturas regulatórias ágeis e forneceremos serviços públicos digitais centrados no ser humano, proativos, fáceis de usar e acessíveis a todos. Saudamos a nova ên... | 5. Reforçaremos as estratégias globais para apoiar a pesquisa e o desenvolvimento (P&D), bem como para garantir sua produção e distribuição rápida e equitativa em todo o mundo, também fortalecendo as cadeias de abastecimento e expandindo e diversificando a capacidade global de fabricação d..."
"Comunicado Conjunto sobre o Fortalecimento da  Parceria Estratégica e Global Brasil -Japão","03/05/2024","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/comunicado-conjunto-sobre-o-fortalecimento-da-parceria-estrategica-e-global-brasil-japao","A nota aborda governança global digital, multilateralismo e ONU e governança multissetorial e direitos humanos online, temas centrais da pesquisa sobre posicionamento do MRE na governança global digital. Contém informações qualitativas sobre posicionamentos, ações ou articulações do Ministério em foros internacionais e políticas domésticas correlatas. Trechos relevantes demonstram a atuação concreta do MRE nesses temas.","74. The two leaders reaffirmed the need for a human-centered, inclusive, development-oriented, responsible and ethical approach to the use and development of digital technologies, including Artificial Intelligence, with the main goal of bridging the digital divide, achieving digital inclusion and im... | 73. Brazil recognized Japan’s role in the G7 to advance the Hiroshima AI Process, which includes international guiding principles for all AI actors and code of conduct for organizations developing advanced AI Systems. Japan recognizes Brazil’s leading role in the G20 to advance the topic of AI for s... | 8. Os dois líderes expressaram preocupação com o atual ambiente de crescentes tensões geopolíticas e com o enfraquecimento do sistema multilateral. Enfatizaram a importância de defender os princípios da Carta das Nações Unidas e de promover o diálogo e outros meios pacíficos para a soluç..."
"IX Cúpula do BRICS – Declaração de Xiamen – Xiamen, China, 4 de setembro de 2017","04/09/2017","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/nona-cupula-do-brics-declaracao-de-xiamen-xiamen-china-4-de-setembro-de-2017","A nota aborda LGPD e proteção de dados, multilateralismo e ONU e governança multissetorial e direitos humanos online, temas centrais da pesquisa sobre posicionamento do MRE na governança global digital. Contém informações qualitativas sobre posicionamentos, ações ou articulações do Ministério em foros internacionais e políticas domésticas correlatas. Trechos relevantes demonstram a atuação concreta do MRE nesses temas.","13. Reafirmamos o nosso compromisso com a cooperação industrial do BRICS, incluindo em capacidades e políticas industriais, novas infraestruturas industriais e padrões, e entre SMEs, de modo a aproveitar conjuntamente as oportunidades trazidas pela nova revolução industrial e a acelerar nossos respe... | 2. Reiteramos que o nosso desejo de paz, segurança, desenvolvimento e cooperação é o objetivo central que nos uniu há 10 anos. Desde então, os países do BRICS percorreram juntos uma jornada notável em seus respectivos caminhos de desenvolvimento adaptados às suas circunstâncias nacionais, dedicados ... | 68. Reafirmamos o nosso compromisso com o multilateralismo e o papel central das Nações Unidas nos assuntos internacionais. Comprometemo-nos a fortalecer a coordenação e a cooperação entre os países do BRICS nas áreas de interesse mútuo e comum dentro das Nações Unidas e outras instituições multilat..."
