"Titulo","Link","Data","Categoria","Autoridade","Nota_Escala","Descricao_Nota","Justificativa","Passagens_Relevantes"
"Conferência Ministerial ""Eliminar o Fosso Digital: a Resposta Digital à Covid-19"" - 1º de julho de 2020","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/ernesto-araujo/conferencia-ministerial-close-the-digital-divides-the-digital-response-to-covid-19-1-de-julho-de-2020","01/07/2020","discursos","ministro-das-relacoes-exteriores","4","Predominantemente Liberal - Foco principal na inovação e abertura de mercado, com alguma regulação estatal","O discurso defende enfaticamente a 'liberdade da Internet' e a liberdade de expressão como respostas digitais fundamentais, ancorando-se na lógica de uma sociedade livre e aberta. Há pouca ênfase em regulação estatal ou soberania; o tom é de abertura, inovação e liberalização digital.","Nesse sentido, acreditamos firmemente que a liberdade da Internet e a liberdade de expressão são absolutamente fundamentais em uma sociedade democrática, e que a proteção e o aprimoramento da liberdade da Internet são a resposta digital mais fundamental para a Covid-19. | O fosso digital não é apenas uma questão de acesso a infraestrutura, serviços e dispositivos digitais, mas, também, ao conteúdo e às liberdades básicas, especialmente a liberdade de expressão. | O poder da informação para criar riqueza, mas também para criar significado para a vida das pessoas, só pode ser conquistado através da Internet livre."
"Intervenções do Ministro das Relações Exteriores, Ernesto Araújo, na cerimônia de lançamento dos estudos da OCDE “A Caminho da Era Digital no Brasil” e “Telecomunicações e Radiofusão no Brasil” (2ª parte)","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/ernesto-araujo/intervencoes-do-ministro-das-relacoes-exteriores-ernesto-araujo-na-cerimonia-de-lancamento-dos-estudos-da-ocde-201ca-caminho-da-era-digital-no-brasil201d-e-201ctelecomunicacoes-e-radiofusao-no-brasil201d-2a-parte","26/10/2020","discursos","ministro-das-relacoes-exteriores","4","Predominantemente Liberal - Foco principal na inovação e abertura de mercado, com alguma regulação estatal","Ao tratar a transformação digital e as telecomunicações como forças 'democratizantes' e celebrar a 'sociedade livre', o texto prioriza abertura e liberdade em detrimento de controle estatal. Sinaliza preocupação com controle social apenas como risco a ser evitado, não como objeto de regulação soberana.","O Brasil está inteiramente comprometido, não só com a economia liberal, mas com a sociedade livre. | Nós acreditamos que a OCDE e os seus atuais membros também têm muito a ganhar ao verem um país das dimensões do Brasil, com a capacidade do Brasil e com o nosso impulso liberalizador e espírito inovador ingressar na organização.', 'A evolução digital e as telecomunicações constituem hoje, talvez, a linha de frente que decidirá o futuro das sociedades: se serão sociedades livres ou se rumarão para outras opções. | A transformação digital e as telecomunicações são extraordinariamente democratizantes, com um potencial enorme de inclusão social e inclusão econômica, mas também de inclusão política, de inclusão dos cidadãos na condução dos negócios de seus países.', 'Por outro lado, têm, também, um potencial perigoso, o potencial de favorecer o controle social e a manipulação."
"Intervenções do Ministro das Relações Exteriores, Ernesto Araújo, na cerimônia de lançamento dos estudos da Organização para a Cooperação e Desenvolvimento Econômico (OCDE) “A Caminho da Era Digital no Brasil” e “Telecomunicações e Radiofusão no Brasil”","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/ernesto-araujo/intervencoes-do-ministro-das-relacoes-exteriores-ernesto-araujo-na-cerimonia-de-lancamento-dos-estudos-da-organizacao-para-a-cooperacao-e-desenvolvimento-economico-ocde-201ca-caminho-da-era-digital-no-brasil201d-e-201ctelecomunicacoes-e-radiofusao-no","26/10/2020","discursos","ministro-das-relacoes-exteriores","4","Predominantemente Liberal - Foco principal na inovação e abertura de mercado, com alguma regulação estatal","O discurso enquadra a digitalização na adoção de padrões e princípios da OCDE, com ênfase em competitividade e integração econômica. Predomina a lógica de mercado e alinhamento a organismos liberais, com regulação vista como meio de previsibilidade para negócios.","Essa é uma questão central para o governo do Brasil.', 'Como afirmou o Presidente Jair Bolsonaro na Assembleia Geral das Nações Unidas, o Brasil está aberto ao desenvolvimento de tecnologia e de inovação de ponta, como a indústria 4.0, a inteligência artificial, a nanotecnologia e a tecnologia 5G, com quaisquer parceiros que respeitem nossa soberania e prezem pela liberdade e a proteção de dados. | A cooperação com a OCDE é fundamental para a construção de um arcabouço favorável às reformas necessárias ao aumento da competitividade da economia brasileira e à integração com as cadeias globais de valor.', 'O relatório “O caminho da era digital no Brasil” analisa o cenário atual de diversos aspectos que atuam na digitalização em curso da sociedade brasileira, apontando as oportunidades e os desafios que precisamos superar. | As conclusões do relatório estão em linha com a nova abertura às novas tecnologias defendida pelo Brasil."
"Intervenção do Ministro Ernesto Araújo na Reunião Ministerial América Latina e Caribe – União Européia Painel temático III: Aliança Digital/ Cooperação Digital - 14/12/2020","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/ernesto-araujo/intervencao-do-ministro-ernesto-araujo-na-reuniao-ministerial-america-latina-e-caribe-2013-uniao-europeia-painel-tematico-iii-alianca-digital-cooperacao-digital-14-de-dezembro-de-2020","15/12/2020","discursos","ministro-das-relacoes-exteriores","4","Predominantemente Liberal - Foco principal na inovação e abertura de mercado, com alguma regulação estatal","O painel sobre Aliança/Cooperação Digital é pautado pela 'defesa intransigente da liberdade e da democracia' e pela tese de um mundo 'mais livre' via evolução digital. A regulação estatal aparece de forma residual, prevalecendo o viés de abertura e livre circulação de informações.","O aumento da conectividade digital deve caminhar junto ao fortalecimento de medidas de segurança cibernética.', 'Senhoras e Senhores,', 'O crescimento incessante de operações cibernéticas maliciosas tornou-se uma espécie de mal-estar do nosso tempo.', 'Essas operações, associadas à disseminação de desinformação, constituem grave e crescente ameaça à liberdade de expressão em nossos países e em nossos meios de circulação de informações, com consequências perigosas sobre nossas economias, nossos povos e mesmo nossas liberdades, se não soubermos agir tempestivamente para garantir a segurança cibe | A evolução digital e as telecomunicações desempenharão papel central nesse novo mundo, que, para ser mais livre e democrático, precisa garantir, a todos nós, instrumentos para seguirmos o caminho da prosperidade. | O Brasil é protagonista nos esforços para desenvolver normas, regras e princípios sobre o comportamento responsável do Estado nesse campo.', 'Na última Assembleia Geral das Nações Unidas, o Presidente Jair Bolsonaro deixou claro que o Brasil permanece interessado em estabelecer parcerias sólidas no campo da tecnologia e da inovação, com benefícios mútuos em termos de desenvolvimento científico e prosperidade econômica, desde que tais parcerias respeitem a soberania e as instituições brasileiras e se orientem pela defesa da liberdade, da democracia e pela proteção de dados."
"Intervenção do Ministro Ernesto Araújo na 46ª Sexta Sessão do Conselho de Direitos Humanos da ONU - 22/02/2021","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/ernesto-araujo/intervencao-do-ministro-ernesto-araujo-na-46a-sexta-sessao-do-conselho-de-direitos-humanos-da-onu-22-02-2021","22/02/2021","discursos","ministro-das-relacoes-exteriores","4","Predominantemente Liberal - Foco principal na inovação e abertura de mercado, com alguma regulação estatal","Ao cunhar o 'tecnototalitarismo' e alertar contra bloqueio de plataformas, controle de conteúdo e algoritmos, o discurso posiciona-se contra o controle estatal e pela liberdade individual online. Trata-se de um alinhamento liberal de defesa da liberdade, com papel mínimo do Estado.","Não critico as medidas de lockdown ou semelhantes, que tantos países aplicam, mas não se pode aceitar um lockdown do espírito humano, o qual depende fundamentalmente da liberdade e dos direitos humanos para exercer, assim, sua plenitude.', 'Assim, reafirmamos nossa determinação de, em conjunto com todas as nações, trabalharmos por uma ordem internacional que honre os padrões estabelecidos na Declaração Universal e em outros tratados internacionais de direitos humanos, diante dos desafios do presente.', 'E o grande desafio de hoje é aquilo que chamo de tecnototalitarismo: do bloqueio de platafo | Com espírito de abertura e diálogo, o Brasil conclama todos a discutir, com urgência e profundidade, o tema da liberdade de expressão diante das novas tecnologias – uma discussão que talvez venha a ser lembrada pelas gerações futuras como o grande debate do nosso tempo – e convida a estabelecer instrumentos para garantir que, mais uma vez, a humanidade seja capaz de realizar um salto tecnológico sem cair no abismo da autodestruição', 'Tenho o prazer de passar a palavra agora à Ministra Damares Alves.'] | Ao longo de toda a aventura humana, desde a descoberta do fogo até a energia nuclear, o desafio de cada época foi sempre o de incorporar as novas tecnologias em favor do bem da humanidade.', 'O século 21 é o século da tecnologia da informação, da inteligência artificial, e nossa tarefa é garantir que essas tecnologias sirvam para libertar e engrandecer o ser humano, a partir da sua dignidade intrínseca, e não para submetê-lo ou apequená-lo, transformando cada homem e cada mulher numa simples coleção de dados a serem explorados.', 'Está em nossas mãos garantir que a tecnologia trabalhe a favor "
"Intervenção do Sr. Ministro de Estado na abertura do seminário  “A Cadeia Internacional de Semicondutores e o Brasil”  (27 de abril de 2022)","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/carlos-alberto-franco-franca/intervencao-do-sr-ministro-de-estado-na-abertura-do-seminario-201ca-cadeia-internacional-de-semicondutores-e-o-brasil201d-27-de-abril-de-2022","27/04/2022","discursos","ministro-das-relacoes-exteriores","3","Modelo Misto - Equilíbrio entre soberania/direitos e desenvolvimento/inovação (não puramente mercantil)","O texto equilibra a defesa da inserção do Brasil nas cadeias globais de semicondutores (lógica de mercado/inovação) com a percepção de autonomia estratégica em tecnologia crítica. Configura modelo misto, sem predominância de regulação soberana nem de livre mercado.","Rogério Nunes, presidente da Associação Brasileira de Indústria de Semicondutores, a ABISEMI, a Embaixadora Márcia Loureiro, que é Presidente da FUNAG, e o Ministro Augusto Pestana, Presidente da Apex.', 'Em nome da Embaixadora Márcia Donner, que se dirige para a Coreia do Sul, um país chave dentro deste tema que nós tratamos, e o Embaixador Achilles Zaluar, Chefe de Gabinete do Ministério das Relações Exteriores, eu cumprimento todas as senhoras e senhores embaixadores aqui presentes. | Embaixador, muito obrigado por o senhor ter saído de São Paulo e vindo aqui.', 'É para mim uma satisfação participar da abertura deste importante seminário, em que serão discutidas as cadeias internacionais de suprimento de semicondutores e a inserção do Brasil nessa nova realidade. | Trata-se de um tema ao qual o Presidente Jair Bolsonaro atribui grande importância.', 'A ideia de realizar o seminário surgiu do diálogo permanente que mantemos com outros ministérios, sobretudo da Economia, das Comunicações e de Ciência, Tecnologia e Inovações, e também com representantes do setor produtivo de semicondutores.', 'A organização do evento ficou a cargo do Departamento de Ciência, Tecnologia e Propriedade Intelectual e da Fundação Alexandre de Gusmão, ambos do Itamaraty.', 'Como sabemos, uma das tendências mais acentuadas do comércio internacional é o crescimento da economia digi"
"Discurso do Ministro Mauro Vieira durante a abertura da  5ª Conferência Nacional de Ciência, Tecnologia & Inovação - Brasília, 4 de abril de 2024","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/mauro-vieira/discurso-do-ministro-mauro-vieira-durante-a-abertura-da-5a-conferencia-nacional-de-ciencia-tecnologia-inovacao-brasilia-4-de-abril-de-2024","04/04/2024","discursos","ministro-das-relacoes-exteriores","2","Predominantemente Soberanista - Foco principal na soberania e direitos, com alguma abertura para inovação","O discurso alerta que a 'revolução digital não pode ser dirigida exclusivamente por economias avançadas' e menciona perda de privacidade e viés em algoritmos, citando o Pacto Global Digital da ONU e diretrizes da UNESCO. Predomina a defesa de direitos, soberania do Sul Global e multilateralismo.","Além disso, enfrentamos riscos como perda de privacidade e viés racista e misógino em algoritmos.', 'Iniciativas como o Pacto Global Digital da ONU e as Diretrizes Globais para a Regulamentação de Plataformas Digitais da UNESCO são essenciais para enfrentar esses desafios, garantindo que os benefícios da tecnologia sejam compartilhados por todos e que haja uma participação inclusiva de especialistas de países em desenvolvimento.', 'Nossa visão para a inserção internacional do Brasil em ciência, tecnologia e inovação é guiada por compromisso do País com a promoção do desenvolvimento sustentável | ['Senhoras e senhores,', 'É com grande honra e satisfação que me uno a vocês na abertura desta importante conferência sobre a internacionalização da ciência, tecnologia e inovação do Brasil.', 'Quero expressar minha gratidão ao Ministério Da Ciência, Tecnologia e Inovação, em especial à Ministra Luciana Santos, por sua parceria neste evento, que busca promover o avanço do conhecimento e do desenvolvimento do nosso País.', 'Esta conferência tem por objetivo discutir o papel fundamental da ciência, da tecnologia e da inovação na construção de um futuro próspero, em especial diante das desigualda | Para 2024, temos 234 ações aprovadas, a serem realizadas em 50 postos no exterior.', 'Por fim, quero tratar de um ponto que será discutido no Painel 1 desta conferência: a colaboração e o acesso a infraestruturas de pesquisa.', 'No mês passado, o Brasil tornou-se o único país do continente americano a ingressar como Membro Associado na Organização Europeia para a Pesquisa Nuclear (CERN), um dos maiores e mais respeitados centros de pesquisa científica do mundo.', 'Essa conquista foi resultado de intensa coordenação dentro do governo federal, capitaneada conjuntamente pelo Itamaraty e pelo Mini"
"Discurso do Ministro Mauro Vieira no  Seminário “Relações Internacionais, Política Externa e Direitos LGBTQIA+"" - 25/06/2024","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/mauro-vieira/discurso-do-ministro-mauro-vieira-no-seminario-201crelacoes-internacionais-politica-externa-e-direitos-lgbtqia-25-06-2024","25/06/2024","discursos","ministro-das-relacoes-exteriores","3","Modelo Misto - Equilíbrio entre soberania/direitos e desenvolvimento/inovação (não puramente mercantil)","O documento reconhece que mídias sociais e IA potencializam discursos de ódio, equilibrando a constatação tecnológica com a defesa da dignidade e dos direitos humanos. Configura modelo misto: assume a tecnologia mas foca na proteção de grupos vulneráveis.","Testemunhei períodos de otimismo, outros de apreensão, mas nenhum mais desafiador do que o atual.', 'A escalada de crises climático-sanitárias, desigualdades socioeconômicas, tensões geopolíticas e conflitos internacionais geram angústia social crescente, potencializada por mídias sociais e inteligência artificial. | Acredito, no entanto, que é justamente nessas circunstâncias que devemos reafirmar o compromisso com a dignidade da pessoa humana, com a universalidade do respeito à vida e com a democracia entendida como o respeito à diferença.', 'Ao reafirmá-los, recordo que esses princípios foram fruto da longa crise da primeira metade do século XX."
"Abertura do seminário “Inteligência Artificial e Mudança do Clima – Tecnologia a favor do desenvolvimento sustentável e de uma transição justa”","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/mauro-vieira/abertura-do-seminario-201cinteligencia-artificial-e-mudanca-do-clima-2013-tecnologia-a-favor-do-desenvolvimento-sustentavel-e-de-uma-transicao-justa201d","29/01/2025","discursos","ministro-das-relacoes-exteriores","2","Predominantemente Soberanista - Foco principal na soberania e direitos, com alguma abertura para inovação","O seminário sobre IA e clima envolve o Comitê Gestor da Internet (modelo multissetorial) e enfatiza a governança internacional da IA com participação inclusiva dos países em desenvolvimento. Predomina a ótica de soberania/autonomia do Sul e de multilateralismo.","É preciso, também, incentivar sua instalação em localidades com matriz elétrica renovável.', 'Nessa discussão, é indispensável também refletirmos sobre o papel dos países em desenvolvimento. | Países do Sul Global devem ter acesso tempestivo e desimpedido às tecnologias que facultem essa transição. | ['Eu queria começar agradecendo ao Tribunal de Contas e ao Vice-Presidente do Tribunal de Contas da União, Ministro Jorge Oliveira, por nos recepcionar hoje aqui para esse importante seminário.', 'É um grande prazer recebê-los neste seminário internacional sobre “Inteligência Artificial e Mudança do Clima”, organizado pelo Ministério das Relações Exteriores, em parceria com o Ministério da Ciência, Tecnologia e Inovação e com a Fundação Alexandre de Gusmão, do Ministério das Relações Exteriores.', 'Reafirmo nossos agradecimentos ao Tribunal de Contas da União, por ceder este belo espaço, bem c"
"Discurso do Ministro Antonio de Aguiar Patriota em Debate Aberto do CSNU sobre o papel de organizações regionais e sub-regionais no diálogo para a paz","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/antonio-de-aguiar-patriota/discurso-do-ministro-antonio-de-aguiar-patriota-em-debate-aberto-do-csnu-sobre-o-papel-de-organizacoes-regionais-e-sub-regionais-no-dialogo-para-a-paz","16/01/2025","discursos","ministro-das-relacoes-exteriores","2","Predominantemente Soberanista - Foco principal na soberania e direitos, com alguma abertura para inovação","O discurso denuncia a interceptação de comunicações e programas de espionagem como violações à privacidade e à soberania dos Estados. Alinhamento claramente soberanista e de defesa de direitos humanos no ciberespaço.","Trata-se de questão grave,\xa0com profundo impacto sobre o ordenamento internacional.\xa0O Brasil está se articulando com países que nutrem preocupações\xa0semelhantes em benefício de uma ordem internacional respeitosada soberania dos Estados e dos direitos humanos.', 'Nesse sentido, saúdo a oportuna declaração de 12 de julho\xa0passado da Alta Comissária para os Direitos Humanos, Navi Pillay,\xa0de que “programas de monitoramento sem mecanismos adequados\xa0para garantir o direito à privacidade podem impactar negativamente\xa0o gozo dos direitos humanos e liberdades fundamentais”.\xa0Pillay c | ['A interceptação de comunicações e as ações de espionagem\xa0em nossa região, que fazem parte de práticas que atentam contra\xa0as soberanias, constituem uma violação dos direitos humanos, em\xa0particular do direito à privacidade e do direito à informação de\xa0nossos cidadãos e cidadãs.Os Chanceleres dos Estados-Partes do MERCOSUL realizamos\xa0ontem, dia 5, gestão junto ao Secretário-Geral da ONU para\xa0transmitir-lhe a posição adotada em Montevidéu sobre o tema da\xa0interceptação de comunicações. | O trabalho de Brahimi sintetiza as possibilidades de uma\xa0articulação entre o regional e o multilateral no âmbito das relações\xa0internacionais.', 'Não podemos deixar de tomar nota cuidadosa das palavras do\xa0Presidente da Comissão Internacional de Inquérito do Conselho\xa0de Direitos Humanos, Paulo Sergio Pinheiro, perante a Assembleia\xa0Geral da ONU, em 29 de julho passado, de que “não há solução\xa0\xa0militar para o conflito sírio” e que “aqueles que fornecem armas\xa0às partes combatentes não estão favorecendo a vitória, mas uma\xa0ilusão da vitória”."
