"Titulo","Data","Link","Categoria","Autoridade","Justificativa","Passagens_Relevantes"
"Transcrição da Audiência Pública com o Ministro Luiz Alberto Figueiredo Machado na Comissão de Relações Exteriores e Defesa Nacional do Senado Federal – Brasília, 6 de fevereiro de 2014","06/02/2014","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/luis-alberto-figueiredo-machado/transcricao-da-audiencia-publica-com-o-ministro-de-estado-da-relacoes-exteriores-luiz-alberto-figueiredo-machado-na-comissao-de-relacoes-exteriores-e-defesa-nacional-do-senado-federal-6-2-2014","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da internet, proteção de dados e privacidade, direitos humanos no ambiente digital. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","(Soa a campainha.)O SR. EMBAIXADOR LUIZ ALBERTO FIGUEIREDO MACHADO – No período recente, o Brasil se transformou, ainda, em País beneficiário, em País prestador de cooperação técnica. Nós temos recebido demandas crescentes de cooperação de países interessados em conhecer mais de perto nossas políticas e nossas tecnolog... | e, finalmente, adotada por consenso pela Assembleia Geral da ONU.Essa convocação de uma discussão pelo Brasil foi feita na esteira do discurso da Presidenta Dilma Rousseff na abertura do último debate geral nas Nações Unidas e nos leva também, como passo adicional, à convocação de uma reunião multissetorial global sobr..."
"Discurso do Ministro Luiz Alberto Figueiredo Machado por ocasião da sessão de abertura dos ""Diálogos sobre Política Externa"" – Brasília, 26 de fevereiro de 2014","26/02/2014","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/luis-alberto-figueiredo-machado/discurso-proferido-pelo-ministro-de-estado-das-relacoes-exteriores-luiz-alberto-figueiredo-machado-na-sessao-de-abertura-dos-dialogos-sobre-politica-externa-palacio-itamaraty-26-de-fevereiro-de-2014","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando proteção de dados e privacidade. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Na agenda internacional, ampliou-se a diversidade de temas e hoje coexistem uma agenda clássica de política externa, com questões ligadas à paz e à segurança internacionais, à integração regional, aos relacionamentos políticos bilaterais e à diplomacia econômica; e uma nova agenda de política externa, associada aos tem..."
"Palestra Magna do Ministro Luiz Alberto Figueiredo Machado por ocasião da III Conferência sobre Relações Internacionais, UnB – Brasília, 27 de novembro de 2014","27/11/2014","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/luis-alberto-figueiredo-machado/palestra-magna-do-sr-ministro-de-estado-das-relacoes-exteriores-por-ocasiao-da-iii-conferencia-sobre-relacoes-internacionais-unb-brasilia-27de-novembro-de-2014","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da internet, proteção de dados e privacidade, direitos humanos no ambiente digital. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","A observância seletiva da Carta e sua interpretação enviesada minam parte dos fundamentos daquela ordem, sem substituí-la por outra mais afim com as aspirações por paz fundada na justiça e por prosperidade compartilhada. Ao contrário, ameaça debilitar aspecto civilizacional e político do mundo pós-Guerra que cabe suste... | Na questão da privacidade no espaço cibernético e da governança da internet, o Brasil assumiu uma posição de liderança. Esses temas ganharam maior relevo na sequência das denúncias sobre as atividades de espionagem de serviços de inteligência estrangeiros. O Brasil, junto com a Alemanha, conseguiu aprovar, por consenso..."
"Discurso do Ministro Mauro Vieira por ocasião da cerimônia de transmissão do cargo de Ministro de Estado das Relações Exteriores – Brasília, 2 de janeiro de 2015","02/01/2015","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/mauro-vieira-2015-2016/discurso-de-sua-excelencia-o-senhor-embaixador-mauro-luiz-iecker-vieira-por-ocasiao-da-cerimonia-de-transmissao-do-cargo-de-ministro-de-estado-das-relacoes-exteriores","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da internet. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","A agenda que nos espera em 2015 e nos próximos anos é ampla e promissora, como indicou a Senhora Presidenta em seu discurso de posse. De acordo com nossa tradicional linha de ação, a um tempo regional e universalista, trataremos de consolidar a América do Sul como espaço de integração em todos os âmbitos e ampliar esfo..."
"Discurso do Ministro Mauro Vieira em Audiência Pública na Comissão de Relações Exteriores e Defesa Nacional do Senado Federal – Brasília, 24 de março de 2015","24/03/2015","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/mauro-vieira-2015-2016/pronunciamento-do-ministro-das-relacoes-exteriores-embaixador-mauro-vieira-em-audiencia-publica-na-comissao-de-relacoes-exteriores-e-defesa-nacional-do-senado-federal-24-de-marco-de-2015","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da internet. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","O Brasil continuará atuando com grande engajamento no G-20 e nas negociações das Nações Unidas sobre mudança do clima, sobre a governança da internet e sobre o desarmamento, entre tantas outras frentes."
"Discurso do Ministro Mauro Vieira em Audiência Pública da Comissão de Relações Exteriores e de Defesa Nacional da Câmara dos Deputados – Brasília, 15 de abril de 2015","15/04/2015","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/mauro-vieira-2015-2016/discurso-do-ministro-das-relacoes-exteriores-em-audiencia-publica-da-comissao-de-relacoes-exteriores-e-de-defesa-nacional-da-camara-dos-deputados-15-de-abril-de-2015","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da internet. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","É grande também o engajamento que o Brasil tem no G-20 e nas negociações das Nações Unidas sobre mudança do clima, governança da Internet e desarmamento, entre outros. É uma característica da atuação da política externa brasileira a defesa da transparência e da maior participação de um número maior de atores na governa..."
"Discurso do Ministro Mauro Vieira na solenidade em homenagem ao aniversário de 70 anos das Nações Unidas – Brasília, 29 de outubro de 2015","29/10/2015","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/mauro-vieira-2015-2016/discurso-do-ministro-mauro-vieira-na-solenidade-em-homenagem-ao-aniversario-de-70-anos-das-nacoes-unidas-brasilia-29-de-outubro-de-2015","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando proteção de dados e privacidade. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","A reforma é ainda mais premente na atual conjuntura. As guerras, o terrorismo, as ameaças transnacionais, a proliferação de armas, as novas armas cibernéticas e as violações à privacidade na era digital continuam a exigir respostas articuladas da comunidade internacional."
"Discurso do Ministro José Serra durante a Reunião Ministerial da Organização Mundial de Comércio (OMC) – Paris, 2 de junho de 2016","02/06/2016","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/jose-serra/discurso-do-ministro-jose-serra-durante-a-sessao-reforcando-a-contribuicao-do-comercio-e-do-investimento-para-o-crescimento-inclusivo-da-reuniao-do-conselho-ministerial-da-ocde-paris-2-de-junho-de-2017","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando proteção de dados e privacidade. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Nós estamos igualmente prontos para desenvolver na OMC disciplinas que apoiem a nova economia. No comércio eletrônico (""e-commerce""), por exemplo, é importante equilibrar disciplinas que permitam que as empresas se beneficiem da previsibilidade do comércio baseado na Internet com disciplinas que assegurem a cooperação ..."
"Texto‑base para a intervenção do ministro Aloysio Nunes Ferreira na abertura da VI Conferência sobre Relações Exteriores, Brasília, 08/11/2017","08/11/2017","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/aloysio-nunes-ferreira/textobase-para-a-intervencao-do-ministro-aloysio-nunes-ferreira-na-abertura-da-vi-conferencia-sobre-relacoes-exteriores-brasilia-08-11-2017","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da internet. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","É participando intensamente do processo de construção de normas multilaterais que fazemos valer as perspectivas e os pontos de vista brasileiros em áreas tão diversas como desarmamento e não proliferação, meio ambiente e mudança do clima, negociações econômicas internacionais, proteção de refugiados, direitos humanos, ..."
"Globalismo: uma visão a partir do  pensamento de Nietzsche","10/06/2019","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/ernesto-araujo/globalismo-uma-visao-a-partir-do-pensamento-de-nietzsche","discursos","ministro-das-relacoes-exteriores","O documento guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da inteligência artificial. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","É curioso, porque se cria um estranho humanismo, que é um humanismo que desmerece o homem, e equipara-o à máquina. Então, é interessante, o que nós estamos vendo hoje, com toda a discussão da inteligência artificial, onde normalmente se fala: a inteligência artificial é a máquina aprendendo a pensar como o ser humano. ..."
