"Titulo","Link","Data","Nota_Escala","Descricao_Nota","Justificativa","Passagens_Relevantes"
"Discurso proferido pelo Ministro de Estado das Relações Exteriores, Luiz Alberto Figueiredo Machado, na sessão de abertura dos ""Diálogos sobre Política Externa"" - Palácio Itamaraty, 26 de fevereiro de 2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/discurso-proferido-pelo-ministro-de-estado-das-relacoes-exteriores-luiz-alberto-figueiredo-machado-na-sessao-de-abertura-dos-dialogos-sobre-politica-externa-palacio-itamaraty-26-de-fevereiro-de-2014","26/02/2014","2","Foco principal na soberania e direitos, com alguma abertura para inovação","A nota foca em soberania e direitos (privacidade, proteção de dados) com abertura para cooperação em inovação e tecnologia digital, correspondendo a Predominantemente Soberanista (Nota 2).","Tenho o prazer de dirigir-me a Vossas Excelências nesta sessão de abertura dos ""Diálogos sobre Política Externa"". Esta série de encontros que o Itamaraty inaugura hoje tem o objetivo de promover o debate entre o Governo, o Congresso, o Judiciário e a sociedade civil sobre as linhas gerais e os princ | Ao longo do próximo mês, os Diálogos sobre Política Externa reunirão, além de entidades públicas, representantes da academia, da imprensa, dos movimentos sociais, de organizações não governamentais, dos sindicatos e do empresariado. | O diálogo é instrumento próprio da diplomacia, que já foi definida como ""o diálogo entre países"". Nas democracias modernas, como a brasileira, este diálogo diplomático não se restringe ao plano internacional. Os temas de política externa têm mobilizado, cada vez mais, o interesse e a atenção dentro "
"Declaração Conjunta dos Ministros de Relações Exteriores do Reino da Espanha e da República Federativa do Brasil – Madri, 18 de março de 2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-conjunta-dos-ministros-de-relacoes-exteriores-do-reino-da-espanha-e-da-republica-federativa-do-brasil-madri-18-de-marco-de-2014","18/03/2014","1","Soberania digital do Estado, garantias democráticas, direitos fundamentais, multilateralismo, multissetorialismo","A nota enfatiza soberania digital, direitos fundamentais, multilateralismo e abordagem multissetorial na governança da internet, alinhando-se à definição de Soberania Digital (Nota 1).","2. Este encontro supõe a abertura da Comissão Ministerial de Diálogo Político Espanha-Brasil cuja constituição foi acordada pela Declaração da Presidenta Dilma Rousseff e do Presidente de Governo Mariano Rajoy em 19 de novembro de 2012, por ocasião da visita oficial da Presidenta Rousseff à Espanha. | 3. Os Ministros decidiram, conforme previsto na Declaração Presidencial, que se realize no próximo ano, 2015, a Reunião de Consultas Políticas entre o Secretario de Estado de Cooperação Internacional e para Ibero-América da Espanha e o Subsecretário-General Político I do Ministério de Relações Exter"
"Visita do Ministro das Relações Exteriores à Alemanha – Berlim, 21 de março de 2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-do-ministro-das-relacoes-exteriores-a-alemanha-berlim-21-de-marco-de-2014","20/03/2014","1","Soberania digital do Estado, garantias democráticas, direitos fundamentais, multilateralismo, multissetorialismo","A nota enfatiza soberania digital, direitos fundamentais, multilateralismo e abordagem multissetorial na governança da internet, alinhando-se à definição de Soberania Digital (Nota 1).","Os dois Ministros examinarão o aprofundamento da Parceria Estratégica Brasil-Alemanha. Tratarão da ampliação do fluxo bilateral de comércio e investimentos, bem como examinarão os principais temas da agenda bilateral, inclusive cooperação em inovação, educação, energia e defesa. | Os Ministros discutirão, igualmente, a reforma das instituições de governança global e temas da agenda de paz e segurança internacionais. Examinarão, ademais, temas afetos ao meio ambiente e à segurança das comunicações eletrônicas. Em dezembro de 2013, a Assembleia Geral da ONU adotou, por consenso"
"Visita ao Brasil do Ministro dos Negócios Estrangeiros da Noruega, Børge Brende - Rio de Janeiro e Brasília, 19 e 20 de fevereiro de 2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-ao-brasil-do-ministro-dos-negocios-estrangeiros-da-noruega-borge-brende-rio-de-janeiro-e-brasilia-19-e-20-de-fevereiro-de-2014","20/04/2014","1","Soberania digital do Estado, garantias democráticas, direitos fundamentais, multilateralismo, multissetorialismo","A nota enfatiza soberania digital, direitos fundamentais, multilateralismo e abordagem multissetorial na governança da internet, alinhando-se à definição de Soberania Digital (Nota 1).","O Ministro dos Negócios Estrangeiros da Noruega, Børge Brende, visitará o Brasil nos dias 19 e 20 de fevereiro. O Chanceler norueguês cumprirá programação em Brasília e no Rio de Janeiro. Em Brasília, no dia 20, manterá encontro de trabalho com o Ministro das Relações Exteriores, Luiz Alberto Figuei | Os Chanceleres tratarão da ampliação dos fluxos bilaterais de comércio e de investimentos, bem como examinarão os principais temas da agenda bilateral, inclusive cooperação em energia, inovação, educação e pesca e aquicultura. | Também serão discutidas a reforma das instituições de governança global e temas da agenda de paz e segurança internacionais, entre as quais a situação na Síria e no Oriente Médio. Os Chanceleres examinarão, ademais, questões relacionadas ao meio ambiente e ao direito à privacidade na era digital."
"Documentos assinados por ocasião da VII Cúpula Brasil–União Europeia – Bruxelas, 24 de fevereiro de 2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/documentos-assinados-por-ocasiao-da-vii-cupula-brasil-uniao-europeia-bruxelas-24-de-fevereiro-de-2014","20/04/2014","2","Foco principal na soberania e direitos, com alguma abertura para inovação","A nota foca em soberania e direitos (privacidade, proteção de dados) com abertura para cooperação em inovação e tecnologia digital, correspondendo a Predominantemente Soberanista (Nota 2).","TERMOS DE REFERÊNCIA DO GRUPO DE TRABALHO AD HOC SOBRE TEMAS ECONÔMICOS, COM ÊNFASE EM INVESTIMENTOS E COMPETITIVIDADE, ENTRE A REPÚBLICA FEDERATIVA DO BRASIL E A UNIÃO EUROPEIA | DECLARAÇÃO CONJUNTA SOBRE A REUNIÃO INAUGURAL DO GRUPO DE TRABALHO AD HOC BRASIL-UNIÃO EUROPEIA SOBRE TEMAS ECONÔMICOS, COM ÊNFASE EM INVESTIMENTOS E COMPETITIVIDADE | TERMOS DE REFERÊNCIA DO GRUPO DE TRABALHO AD HOC SOBRE TEMAS ECONÔMICOS, COM ÊNFASE EM INVESTIMENTOS E COMPETITIVIDADE, ENTRE A REPÚBLICA FEDERATIVA DO BRASIL E A UNIÃO EUROPEIA"
"VII Cúpula Brasil–União Europeia - Bruxelas, 24 de fevereiro de 2014 - Comunicado Conjunto","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/vii-cupula-brasil-uniao-europeia-bruxelas-24-de-fevereiro-de-2014-comunicado-conjunto","20/04/2014","3","Equilíbrio entre soberania/direitos e desenvolvimento/inovação (não puramente mercantil)","A nota apresenta equilíbrio entre cooperação em infraestrutura/tecnologia digital e preocupações com soberania, direitos ou regulação, configurando Modelo Misto (Nota 3).","1. We, the leaders of the European Union and the Federative Republic of Brazil, met today in Brussels to reaffirm our close partnership. As we both face global challenges, our partnership represents a valuable opportunity for greater prosperity and security to our 700 million citizens."
"Reino Unido sedia reunião de Diálogo Estratégico com o Brasil","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/reino-unido-sedia-reuniao-de-dialogo-estrategico-com-o-brasil","22/05/2014","2","Foco principal na soberania e direitos, com alguma abertura para inovação","A nota foca em soberania e direitos (privacidade, proteção de dados) com abertura para cooperação em inovação e tecnologia digital, correspondendo a Predominantemente Soberanista (Nota 2).","Esta rodada de conversas realiza-se anualmente e foi concebida com o intuito de tratar de questões de política externa e de segurança internacional, em reconhecimento ao papel cada vez mais importante do Brasil no mundo. A reunião deste ano ocorrerá em Carlton Gardens, centro de Londres. | “É uma alegria receber o Ministro Patriota em Londres para a reunião do Diálogo Estratégico Brasil-Reino Unido. O Brasil e o Reino Unido cooperaram de forma consistente ao longo de 2012 no âmbito dos Jogos Olímpicos e minha expectativa é de seguir avançando. Compartilhamos muitos interesses e podemo"
"VI Cúpula BRICS – Declaração de Fortaleza – 15 de julho de 2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/vi-cupula-brics-declaracao-de-fortaleza-15-de-julho-de-2014","15/07/2014","1","Soberania digital do Estado, garantias democráticas, direitos fundamentais, multilateralismo, multissetorialismo","A nota enfatiza soberania digital, direitos fundamentais, multilateralismo e abordagem multissetorial na governança da internet, alinhando-se à definição de Soberania Digital (Nota 1).","1. Nós, os líderes da República Federativa do Brasil, da Federação Russa, da República da Índia, da República Popular da China e da República da África do Sul, reunimo-nos em Fortaleza, Brasil, em 15 de julho de 2014 na VI Cúpula do BRICS. Para inaugurar o segundo ciclo de Cúpulas do BRICS, o tema e | 2. Reunião de Altos Representantes Responsáveis por Segurança Nacional do BRICS  3. Reunião intermediária de Sherpas e Sub-Sherpas do BRICS. 4. Reuniões de Ministros das Finanças e Presidentes de Banco Central do BRICS à margem de reuniões do G20, reuniões do Banco Mundial/FMI, bem como reuniões esp"
"Declaração conjunta entre Brasil e China por ocasião da visita de Estado do presidente Xi Jinping – Brasília, 17 de julho de 2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-conjunta-entre-brasil-e-china-por-ocasiao-da-visita-de-estado-do-presidente-xi-jinping-brasilia-17-de-julho-de-2014","17/07/2014","1","Soberania digital do Estado, garantias democráticas, direitos fundamentais, multilateralismo, multissetorialismo","A nota enfatiza soberania digital, direitos fundamentais, multilateralismo e abordagem multissetorial na governança da internet, alinhando-se à definição de Soberania Digital (Nota 1).","1. A convite da Presidenta da República Federativa do Brasil, Dilma Rousseff, o Presidente da República Popular da China, Xi Jinping, realizou Visita de Estado ao Brasil, no dia 17 julho de 2014, depois de participar da VI Cúpula do BRICS, realizada em Fortaleza, de 15 a 16 de julho de 2014. | 2. Durante a visita, a Presidenta Dilma Rousseff e o Presidente Xi Jinping avaliaram a evolução das relações bilaterais e alcançaram consensos importantes sobre o aprofundamento da Parceria Estratégia Global Brasil-China. Os dois Chefes de Estado participaram do encerramento da Reunião Bilateral Anu | 3. Os dois Chefes de Estado saudaram o 40º aniversário do estabelecimento das relações diplomáticas entre Brasil e China e, ao resumirem as experiências dos últimos 40 anos, coincidiram que os princípios de respeito mútuo, benefício recíproco e ganhos compartilhados constituem a base da evolução con"
"Relatório da Alta Comissária para Direitos Humanos da ONU sobre ""O Direito à Privacidade na Era Digital""","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/relatorio-da-alta-comissaria-para-direitos-humanos-da-onu-sobre-o-direito-a-privacidade-na-era-digital","22/07/2014","1","Soberania digital do Estado, garantias democráticas, direitos fundamentais, multilateralismo, multissetorialismo","A nota enfatiza soberania digital, direitos fundamentais, multilateralismo e abordagem multissetorial na governança da internet, alinhando-se à definição de Soberania Digital (Nota 1).","O Governo brasileiro manifesta satisfação com a divulgação, em 16/7, em Genebra, pela Alta Comissária para os Direitos Humanos das Nações Unidas, Navi Pillay, do relatório ""O direito à privacidade na era digital"". Trata-se de resposta à solicitação da resolução apresentada por Brasil e Alemanha dura | O documento, que examina a proteção do direito à privacidade no contexto do uso de ferramentas nacionais e extraterritoriais de monitoramento das comunicações, constitui passo importante para o aprofundamento das discussões sobre o tema. | O relatório será apresentado ao Conselho de Direitos Humanos em sua 27ª Sessão, em setembro próximo, e à Assembleia Geral da ONU em sua 69ª Sessão, em outubro vindouro."
