titulo;data;link;classificacao;motivo;trecho
"Discurso proferido pelo Ministro de Estado das Relações Exteriores, Luiz Alberto Figueiredo Machado, na sessão de abertura dos ""Diálogos sobre Política Externa"" - Palácio Itamaraty, 26 de fevereiro de 2014";26/02/2014;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/discurso-proferido-pelo-ministro-de-estado-das-relacoes-exteriores-luiz-alberto-figueiredo-machado-na-sessao-de-abertura-dos-dialogos-sobre-politica-externa-palacio-itamaraty-26-de-fevereiro-de-2014;Relevante;;
Declaração Conjunta dos Ministros de Relações Exteriores do Reino da Espanha e da República Federativa do Brasil – Madri, 18 de março de 2014;18/03/2014;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-conjunta-dos-ministros-de-relacoes-exteriores-do-reino-da-espanha-e-da-republica-federativa-do-brasil-madri-18-de-marco-de-2014;Relevante;;
Visita do Ministro das Relações Exteriores à Alemanha – Berlim, 21 de março de 2014;20/03/2014;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-do-ministro-das-relacoes-exteriores-a-alemanha-berlim-21-de-marco-de-2014;Relevante;;
Visita ao Brasil do Ministro dos Negócios Estrangeiros da Noruega, Børge Brende - Rio de Janeiro e Brasília, 19 e 20 de fevereiro de 2014;20/04/2014;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-ao-brasil-do-ministro-dos-negocios-estrangeiros-da-noruega-borge-brende-rio-de-janeiro-e-brasilia-19-e-20-de-fevereiro-de-2014;Relevante;;
Documentos assinados por ocasião da VII Cúpula Brasil–União Europeia – Bruxelas, 24 de fevereiro de 2014;20/04/2014;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/documentos-assinados-por-ocasiao-da-vii-cupula-brasil-uniao-europeia-bruxelas-24-de-fevereiro-de-2014;Relevante;;
VII Cúpula Brasil–União Europeia - Bruxelas, 24 de fevereiro de 2014 - Comunicado Conjunto;20/04/2014;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/vii-cupula-brasil-uniao-europeia-bruxelas-24-de-fevereiro-de-2014-comunicado-conjunto;Relevante;;
VI Cúpula BRICS – Declaração de Fortaleza – 15 de julho de 2014;15/07/2014;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/vi-cupula-brics-declaracao-de-fortaleza-15-de-julho-de-2014;Relevante;;
Declaração conjunta entre Brasil e China por ocasião da visita de Estado do presidente Xi Jinping – Brasília, 17 de julho de 2014;17/07/2014;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-conjunta-entre-brasil-e-china-por-ocasiao-da-visita-de-estado-do-presidente-xi-jinping-brasilia-17-de-julho-de-2014;Relevante;;
"Relatório da Alta Comissária para Direitos Humanos da ONU sobre ""O Direito à Privacidade na Era Digital""";22/07/2014;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/relatorio-da-alta-comissaria-para-direitos-humanos-da-onu-sobre-o-direito-a-privacidade-na-era-digital;Relevante;;
Visita ao Brasil do Primeiro-Ministro do Japão, Shinzo Abe – Comunicado Conjunto – 31 de julho a 2 de agosto de 2014;07/08/2014;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-ao-brasil-do-primeiro-ministro-do-japao-shinzo-abe-comunicado-conjunto-31-de-julho-a-2-de-agosto-de-2014;Relevante;;
Documentos aprovados na XLVI Cúpula de Chefes de Estado do MERCOSUL e Estados Associados – Caracas, 29 de julho de 2014;07/08/2014;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/documentos-aprovados-na-xlvi-cupula-de-chefes-de-estado-do-mercosul-e-estados-associados-caracas-29-de-julho-de-2014;Relevante;;
Discurso proferido pela Presidenta da República, Dilma Rousseff, na abertura do Debate de Alto Nível da 69ª Assembleia Geral das Nações Unidas (ONU) – Nova York, 24 de setembro de 2014;08/10/2014;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/discurso-proferido-pela-presidenta-da-republica-dilma-rousseff-na-abertura-do-debate-de-alto-nivel-da-69-assembleia-geral-das-nacoes-unidas-onu-nova-york-24-de-setembro-de-2014;Relevante;;
Documentos aprovados na XLVII Cúpula de Chefes de Estado do MERCOSUL e Estados Associados - Paraná, Argentina, 17 de dezembro de 2014;18/12/2014;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/documentos-aprovados-na-xlvii-cupula-de-chefes-de-estado-do-mercosul-e-estados-associados-parana-argentina-17-de-dezembro-de-2014;Relevante;;
Discurso de Sua Excelência o Senhor Embaixador Mauro Luiz Iecker Vieira, por ocasião da cerimônia de transmissão do cargo de Ministro de Estado das Relações Exteriores - Palácio Itamaraty, 2 de janeiro de 2015;02/01/2015;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/discurso-de-sua-excelencia-o-senhor-embaixador-mauro-luiz-iecker-vieira-por-ocasiao-da-cerimonia-de-transmissao-do-cargo-de-ministro-de-estado-das-relacoes-exteriores-palacio-itamaraty-2-de-janeiro-de-2015;Relevante;;
Visita ao Brasil do Ministro do Exterior da República Federal da Alemanha, Frank-Walter Steinmeier – Brasília, 13 de fevereiro de 2015;12/02/2015;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-ao-brasil-do-ministro-do-exterior-da-republica-federal-da-alemanha-frank-walter-steinmeier-brasilia-13-de-fevereiro-de-2015;Relevante;;
IV Diálogo Estratégico Brasil – Reino Unido  - Londres, 25 de fevereiro de 2015 - Comunicado Conjunto;27/02/2015;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/iv-dialogo-estrategico-brasil-reino-unido-londres-25-de-fevereiro-de-2015-comunicado-conjunto;Relevante;;
"Criação da Relatoria Especial sobre ""O Direito à Privacidade na Era Digital""";26/03/2015;https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/criacao-da-relatoria-especial-sobre-o-direito-a-privacidade-na-era-digital;Relevante;;
