"Titulo";"Data";"Link";"Nota_Escala_Original";"Nota_Escala_Sugerida";"Classificacao";"Motivo";"Justificativa_Validacao";"Classificado_Heuristico"
"Discurso proferido pelo Ministro de Estado das Relações Exteriores, Luiz Alberto Figueiredo Machado, na sessão de abertura dos ""Diálogos sobre Política Externa"" - Palácio Itamaraty, 26 de fevereiro de 2014";"26/02/2014";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/discurso-proferido-pelo-ministro-de-estado-das-relacoes-exteriores-luiz-alberto-figueiredo-machado-na-sessao-de-abertura-dos-dialogos-sobre-politica-externa-palacio-itamaraty-26-de-fevereiro-de-2014";"2";"2";"Coerente";"";"Conteudo apresenta temas de soberania/direitos/regulação, consistente com nota 2.";"noticias institucionais"
"Declaração Conjunta dos Ministros de Relações Exteriores do Reino da Espanha e da República Federativa do Brasil – Madri, 18 de março de 2014";"18/03/2014";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-conjunta-dos-ministros-de-relacoes-exteriores-do-reino-da-espanha-e-da-republica-federativa-do-brasil-madri-18-de-marco-de-2014";"4";"4";"Coerente";"";"Conteudo apresenta temas de comércio/inovação/mercado, consistente com nota 4.";"noticias institucionais"
"Visita do Ministro das Relações Exteriores à Alemanha – Berlim, 21 de março de 2014";"20/03/2014";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-do-ministro-das-relacoes-exteriores-a-alemanha-berlim-21-de-marco-de-2014";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Visita ao Brasil do Ministro dos Negócios Estrangeiros da Noruega, Børge Brende - Rio de Janeiro e Brasília, 19 e 20 de fevereiro de 2014";"20/04/2014";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-ao-brasil-do-ministro-dos-negocios-estrangeiros-da-noruega-borge-brende-rio-de-janeiro-e-brasilia-19-e-20-de-fevereiro-de-2014";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Documentos assinados por ocasião da VII Cúpula Brasil–União Europeia – Bruxelas, 24 de fevereiro de 2014";"20/04/2014";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/documentos-assinados-por-ocasiao-da-vii-cupula-brasil-uniao-europeia-bruxelas-24-de-fevereiro-de-2014";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"VII Cúpula Brasil–União Europeia - Bruxelas, 24 de fevereiro de 2014 - Comunicado Conjunto";"20/04/2014";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/vii-cupula-brasil-uniao-europeia-bruxelas-24-de-fevereiro-de-2014-comunicado-conjunto";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Reino Unido sedia reunião de Diálogo Estratégico com o Brasil";"22/05/2014";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/reino-unido-sedia-reuniao-de-dialogo-estrategico-com-o-brasil";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"VI Cúpula BRICS – Declaração de Fortaleza – 15 de julho de 2014";"15/07/2014";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/vi-cupula-brics-declaracao-de-fortaleza-15-de-julho-de-2014";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Declaração conjunta entre Brasil e China por ocasião da visita de Estado do presidente Xi Jinping – Brasília, 17 de julho de 2014";"17/07/2014";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-conjunta-entre-brasil-e-china-por-ocasiao-da-visita-de-estado-do-presidente-xi-jinping-brasilia-17-de-julho-de-2014";"3";"3";"Coerente";"";"Nota 3 (Modelo Misto) coerente com conteúdo diplomatico que equilibra cooperação e soberania.";"noticias institucionais"
"Relatório da Alta Comissária para Direitos Humanos da ONU sobre ""O Direito à Privacidade na Era Digital""";"22/07/2014";"https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/relatorio-da-alta-comissaria-para-direitos-humanos-da-onu-sobre-o-direito-a-privacidade-na-era-digital";"2";"2";"Coerente";"";"Conteudo apresenta temas de soberania/direitos/regulação, consistente com nota 2.";"noticias institucionais"
