Titulo,Data,Link,Justificativa,Passagens_Relevantes
"X Conferência dos Chefes de Estado e de Governo da Comunidade dos Países de Língua Portuguesa (CPLP) - Díli, 23 de julho de 2014 - Credenciamento de imprensa",20/06/2014,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/x-conferencia-dos-chefes-de-estado-e-de-governo-da-comunidade-dos-paises-de-lingua-portuguesa-cplp-dili-23-de-julho-de-2014-credenciamento-de-imprensa,Referência a plataformas digitais,"X Conferência dos Chefes de Estado e de Governo da Comunidade dos Países de Língua Portuguesa (CPLP) - Díli, 23 de julho de 2014 - Credenciamento de imprensa  Os profissionais de imprensa interessados em cobrir a X Conferência dos Chefes de Estado e de Governo da Comunidade dos Países de Língua Portuguesa (CPLP), a realizar-se em 23 de julho próximo em Díli, Timor-Leste, deverão encaminhar, por e-mail, até 30 de junho, solicitação de credenciamento ao Gabinete de Apoio para a Presidência da CPLP do Ministério dos Negócios Estrangeiros e Cooperação de Timor-Leste, mediante apresentação dos seguintes elementos: • Formulário devidamente preenchido, disponível no seguinte link: http://www"
"Relatório da Alta Comissária para Direitos Humanos da ONU sobre ""O Direito à Privacidade na Era Digital""",22/07/2014,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/relatorio-da-alta-comissaria-para-direitos-humanos-da-onu-sobre-o-direito-a-privacidade-na-era-digital,Discute privacidade,"Relatório da Alta Comissária para Direitos Humanos da ONU sobre ""O Direito à Privacidade na Era Digital""  O Governo brasileiro manifesta satisfação com a divulgação, em 16/7, em Genebra, pela Alta Comissária para os Direitos Humanos das Nações Unidas, Navi Pillay, do relatório ""O direito à privacidade na era digital"" | O documento, que examina a proteção do direito à privacidade no contexto do uso de ferramentas nacionais e extraterritoriais de monitoramento das comunicações, constitui passo importante para o aprofundamento das discussões sobre o tema"
"Criação da Relatoria Especial sobre ""O Direito à Privacidade na Era Digital""",26/03/2015,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/criacao-da-relatoria-especial-sobre-o-direito-a-privacidade-na-era-digital,Aborda proteção de dados; Discute privacidade,"Criação da Relatoria Especial sobre ""O Direito à Privacidade na Era Digital""  O Governo brasileiro registra, com satisfação, a adoção hoje, em Genebra, por consenso, pelo Conselho de Direitos Humanos das Nações Unidas (CDH), de resolução de iniciativa do Brasil e da Alemanha, juntamente com Áustria, Liechtenstein, México, Noruega e Suíça, sobre o direito à privacidade na era digital | A resolução cria relatoria especial sobre o direito à privacidade para lidar com os desafios decorrentes da era digital | A relatoria especial, com mandato inicial de três anos, terá competência para reunir informações relevantes sobre o direito à privacidade, identificar obstáculos à sua promoção e proteção, tomar medidas com vistas à conscientização sobre a necessidade de promover e proteger o referido direito, bem como relatar violações e submeter à atenção do CDH situações de maior gravidade, entre outras funções"
Viagem da Presidenta da República ao México - Credenciamento de imprensa,20/05/2015,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/viagem-da-presidenta-da-republica-para-o-mexico-credenciamento-de-imprensa,Aborda proteção de dados,b) foto; ec) páginas do passaporte contendo foto e dados pessoais
40º Aniversário da Independência da República de Cabo Verde,07/07/2015,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/40-aniversario-da-independencia-da-republica-de-cabo-verde,Discussão sobre domínios,"Estabelecidas já em 1975, logo após a independência cabo-verdiana, as relações bilaterais englobam as mais diversas áreas, da coordenação política à cooperação técnica, passando pelos domínios da defesa, do comércio e dos investimentos"
"Visita de Estado da Presidenta da República à Colômbia – Bogotá, 4 e 5 de outubro de 2015 – Credenciamento de imprensa",29/09/2015,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-de-estado-da-presidenta-da-republica-a-colombia-bogota-5-de-outubro-de-2015,Aborda proteção de dados,"pdf): a) carta em papel timbrado, assinada pela chefia imediata, com a solicitação de credenciamento;
  
  b) foto; e
  
  c) páginas do passaporte contendo foto e dados pessoais"
Viagem da Presidenta da República à Suécia e à Finlândia – 18 a 20 de outubro de 2015 – Credenciamento de imprensa,13/10/2015,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/viagem-da-presidenta-da-republica-a-suecia-e-a-finlandia-18-a-20-de-outubro-de-2015-credenciamento-de-imprensa,Aborda proteção de dados,"pdf)
  

  a) carta em papel timbrado, assinada pela chefia imediata, com a solicitação de credenciamento;
  
  b) foto; e
  
  c) páginas do passaporte contendo foto e dados pessoais"
"Visita de Estado da Presidenta da República à Colômbia – Bogotá, 8 e 9 de outubro de 2015 – Credenciamento de imprensa – Extensão do prazo",05/10/2015,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-de-estado-da-presidenta-da-republica-a-colombia-bogota-8-e-9-de-outubro-de-2015-credenciamento-de-imprensa-extensao-do-prazo,Aborda proteção de dados,"pdf): a) carta em papel timbrado, assinada pela chefia imediata, com a solicitação de credenciamento;
  
  b) foto; e
  
  c) páginas do passaporte contendo foto e dados pessoais"
"Campanha ""Turn the World UN Blue""",22/10/2015,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/campanha-turn-the-world-un-blue,Referência a plataformas digitais,"O evento será compartilhado com os seguidores da ONU no Facebook, Instagram, Twitter, Flickr e outras redes sociais por meio das
  
   hashtags
  
  #UNBlue, #UN70 e #ONU70"
"X Conferência Ministerial da OMC – Nairóbi, 15 a 18 de dezembro de 2015 – Credenciamento de imprensa",19/11/2015,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/x-conferencia-ministerial-da-omc,Referência a plataformas digitais,"X Conferência Ministerial da OMC – Nairóbi, 15 a 18 de dezembro de 2015 – Credenciamento de imprensa  Informa-se aos profissionais de imprensa interessados em participar da cobertura da X Conferência Ministerial da Organização Mundial do Comércio (OMC), a realizar-se entre os dias 15 e 18 de dezembro, em Nairóbi, Quênia, que o prazo para credenciamento se encerra no dia 1º de dezembro"
