"Titulo","Data","Link","Justificativa","Passagens_Relevantes","Origem"
"Discurso proferido pelo Ministro de Estado das Relações Exteriores, Luiz Alberto Figueiredo Machado, na sessão de abertura dos ""Diálogos sobre Política Externa"" - Palácio Itamaraty, 26 de fevereiro de 2014","26/02/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/discurso-proferido-pelo-ministro-de-estado-das-relacoes-exteriores-luiz-alberto-figueiredo-machado-na-sessao-de-abertura-dos-dialogos-sobre-politica-externa-palacio-itamaraty-26-de-fevereiro-de-2014","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando proteção de dados e privacidade. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Na agenda internacional, ampliou-se a diversidade de temas e hoje coexistem uma agenda clássica de política externa, com questões ligadas à paz e à segurança internacionais, à integração regional, aos relacionamentos políticos bilaterais e à diplomacia econômica; e uma nova agenda de política externa, associada aos tem...","Filtragem"
"Declaração Conjunta dos Ministros de Relações Exteriores do Reino da Espanha e da República Federativa do Brasil – Madri, 18 de março de 2014","18/03/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-conjunta-dos-ministros-de-relacoes-exteriores-do-reino-da-espanha-e-da-republica-federativa-do-brasil-madri-18-de-marco-de-2014","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da internet, cibersegurança. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","13. No plano multilateral, os Ministros mostraram-se dispostos a trabalhar em estreita colaboração a fim de enfrentar os novos desafios globais. Os Ministros mencionaram, entre outros temas, a governança da Internet, e se referiram à Reunião Multissetorial Global sobre o Futuro da Governança da Internet, a ser realizad...","Filtragem"
"Visita do Ministro das Relações Exteriores à Alemanha – Berlim, 21 de março de 2014","20/03/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-do-ministro-das-relacoes-exteriores-a-alemanha-berlim-21-de-marco-de-2014","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando proteção de dados e privacidade. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Os Ministros discutirão, igualmente, a reforma das instituições de governança global e temas da agenda de paz e segurança internacionais. Examinarão, ademais, temas afetos ao meio ambiente e à segurança das comunicações eletrônicas. Em dezembro de 2013, a Assembleia Geral da ONU adotou, por consenso, o projeto de resol...","Filtragem"
"Visita ao Brasil do Ministro dos Negócios Estrangeiros da Noruega, Børge Brende - Rio de Janeiro e Brasília, 19 e 20 de fevereiro de 2014","20/04/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-ao-brasil-do-ministro-dos-negocios-estrangeiros-da-noruega-borge-brende-rio-de-janeiro-e-brasilia-19-e-20-de-fevereiro-de-2014","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando proteção de dados e privacidade. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","Também serão discutidas a reforma das instituições de governança global e temas da agenda de paz e segurança internacionais, entre as quais a situação na Síria e no Oriente Médio. Os Chanceleres examinarão, ademais, questões relacionadas ao meio ambiente e ao direito à privacidade na era digital.","Filtragem"
"Documentos assinados por ocasião da VII Cúpula Brasil–União Europeia – Bruxelas, 24 de fevereiro de 2014","20/04/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/documentos-assinados-por-ocasiao-da-vii-cupula-brasil-uniao-europeia-bruxelas-24-de-fevereiro-de-2014","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando proteção de dados e privacidade, cibersegurança, infraestrutura e tecnologias digitais. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","O Brasil e a União Europeia, com a colaboração da indústria privada dos dois lados do Atlântico, reconhecem a importância estratégica e estimulam as partes interessadas relevantes a trabalhar na instalação de um cabo de fibra ótica transatlântico, de alta capacidade, direto, ligando a América do Sul e a Europa. Esse no... | O Brasil e a União Europeia estão comprometidos em reforçar o valor estratégico, a eficiência e o impacto da cooperação no âmbito das TICs.
  
  A cooperação em computação em nuvem (cloud computing), padrões de endereçamento, mecanismos de certificação, contratos justos e seguros, bem como arcabouços legislativos será ... | Duas convocatórias de pesquisa e inovação sobre TICs foram implantadas com êxito, com o apoio do Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq), dando provas de ser um mecanismo eficiente de cooperação entre o Brasil e a União Europeia, levando a resultados com alto impacto social e industrial. Ac...","Filtragem"
"VII Cúpula Brasil–União Europeia - Bruxelas, 24 de fevereiro de 2014 - Comunicado Conjunto","20/04/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/vii-cupula-brasil-uniao-europeia-bruxelas-24-de-fevereiro-de-2014-comunicado-conjunto","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da internet, infraestrutura e tecnologias digitais. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","44. We reaffirm our strong belief that Internet governance should be inclusive, transparent, and based on a genuine multi-stakeholder model. In that context, we agreed to cooperate towards the success of the Global Multi-stakeholder Meeting on the Future of Internet Governance to be held in São Paulo on 23-24 April 201... | 16. In the domain of ICT cooperation we welcomed the enlarged policy cooperation in Cloud Computing. On ICT infrastructure, we welcomed the plans for the future installation of a fibre-optic submarine cable linking Brazil and Europe, which will improve communications between the two continents, facilitate the take-up o...","Filtragem"
"Reino Unido sedia reunião de Diálogo Estratégico com o Brasil","22/05/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/reino-unido-sedia-reuniao-de-dialogo-estrategico-com-o-brasil","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando cibersegurança. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","No que se refere a questões de segurança internacional, Brasil e Reino Unido acordaram intensificar o diálogo sobre interesses comuns em temas de desarmamento e não-proliferação, no âmbito do processo negociador do Tratado de Não-Proliferação em 2015. Os Chanceleres decidiram que conversas sobre assuntos político-milit...","Filtragem"
"VI Cúpula BRICS – Declaração de Fortaleza – 15 de julho de 2014","15/07/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/vi-cupula-brics-declaracao-de-fortaleza-15-de-julho-de-2014","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da internet, proteção de dados e privacidade, direitos humanos no ambiente digital. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","1. Nós, os líderes da República Federativa do Brasil, da Federação Russa, da República da Índia, da República Popular da China e da República da África do Sul, reunimo-nos em Fortaleza, Brasil, em 15 de julho de 2014 na VI Cúpula do BRICS. Para inaugurar o segundo ciclo de Cúpulas do BRICS, o tema escolhido para as nos...","Filtragem"
"Declaração conjunta entre Brasil e China por ocasião da visita de Estado do presidente Xi Jinping – Brasília, 17 de julho de 2014","17/07/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-conjunta-entre-brasil-e-china-por-ocasiao-da-visita-de-estado-do-presidente-xi-jinping-brasilia-17-de-julho-de-2014","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando governança da internet, proteção de dados e privacidade, cibersegurança, infraestrutura e tecnologias digitais. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","35. Os dois Dignitários manifestaram sua preocupação com o uso de tecnologias da informação e da comunicação em atos contrários à manutenção da paz e segurança internacional e prejudiciais aos direitos de privacidade. Coincidiram na necessidade de cooperação para lidar com as ameaças à segurança cibernética, com base n... | 36. Os dois Presidentes trocaram impressões sobre os resultados da Reunião Multissetorial Global sobre o Futuro da Governança da Internet – NETmundial (São Paulo, 23 e 24 de abril de 2014) e concordaram em aprofundar o diálogo bilateral sobre temas relativos à governança da Internet. A Parte brasileira manifestou a exp... | 1. Memorando de Entendimento sobre Cooperação Estratégica entre o Ministério da Ciência, Tecnologia e Inovação (MCTI) e a Baidu Inc.;
  
  2. Memorando de Entendimento sobre Cooperação Ferroviária entre o Ministério dos Transportes e a Comissão Nacional de Desenvolvimento e Reforma da China;
  
  3. Contrato de venda d...","Filtragem"
"Relatório da Alta Comissária para Direitos Humanos da ONU sobre ""O Direito à Privacidade na Era Digital""","22/07/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/relatorio-da-alta-comissaria-para-direitos-humanos-da-onu-sobre-o-direito-a-privacidade-na-era-digital","A nota guarda relação direta e substantiva com a Governança Global Digital, tematizando proteção de dados e privacidade. Traz informação qualitativa sobre o posicionamento, ações ou articulações do MRE nesse campo, útil à análise da política externa brasileira em governança digital no período 2014-2025.","O Governo brasileiro manifesta satisfação com a divulgação, em 16/7, em Genebra, pela Alta Comissária para os Direitos Humanos das Nações Unidas, Navi Pillay, do relatório ""O direito à privacidade na era digital"". Trata-se de resposta à solicitação da resolução apresentada por Brasil e Alemanha durante a 68ª Assembleia...","Filtragem"
