Titulo,Link,Data,Nota_Escala,Descricao_Nota,Justificativa,Passagens_Relevantes
"Relatório da Alta Comissária para Direitos Humanos da ONU sobre ""O Direito à Privacidade na Era Digital""",,22/07/2014,1,Soberania Digital,"O Brasil manifesta satisfação com relatório da ONU sobre privacidade na era digital, enfatizando proteção de direitos humanos e privacidade. Posicionamento forte em defesa da soberania digital e multilateralismo.","Relatório da Alta Comissária para Direitos Humanos da ONU sobre ""O Direito à Privacidade na Era Digital""  O Governo brasileiro manifesta satisfação com a divulgação, em 16/7, em Genebra, pela Alta Comissária para os Direitos Humanos das Nações Unidas, Navi Pillay, do relatório ""O direito à privacidade na era digital"" | O documento, que examina a proteção do direito à privacidade no contexto do uso de ferramentas nacionais e extraterritoriais de monitoramento das comunicações, constitui passo importante para o aprofundamento das discussões sobre o tema"
"Criação da Relatoria Especial sobre ""O Direito à Privacidade na Era Digital""",,26/03/2015,1,Soberania Digital,Brasil lidera iniciativa com Alemanha no CDH da ONU para criar relatoria especial sobre privacidade na era digital. Forte posicionamento soberanista e multilateralismo.,"Criação da Relatoria Especial sobre ""O Direito à Privacidade na Era Digital""  O Governo brasileiro registra, com satisfação, a adoção hoje, em Genebra, por consenso, pelo Conselho de Direitos Humanos das Nações Unidas (CDH), de resolução de iniciativa do Brasil e da Alemanha, juntamente com Áustria, Liechtenstein, México, Noruega e Suíça, sobre o direito à privacidade na era digital | A resolução cria relatoria especial sobre o direito à privacidade para lidar com os desafios decorrentes da era digital | A relatoria especial, com mandato inicial de três anos, terá competência para reunir informações relevantes sobre o direito à privacidade, identificar obstáculos à sua promoção e proteção, tomar medidas com vistas à conscientização sobre a necessidade de promover e proteger o referido direito, bem como relatar violações e submeter à atenção do CDH situações de maior gravidade, entre outras funções"
"Discurso do Ministro José Serra durante a Reunião Ministerial da Organização Mundial de Comércio (OMC) – Paris, 2 de junho de 2016",,02/06/2016,3,Modelo Misto,Discurso na OMC busca equilíbrio entre comércio eletrônico e proteção de dados/consumidor. Posicionamento misto com foco em regulação equilibrada.,"No comércio eletrônico (""e-commerce""), por exemplo, é importante equilibrar disciplinas que permitam que as empresas se beneficiem da previsibilidade do comércio baseado na Internet com disciplinas que assegurem a cooperação adequada para fazer valer os direitos do consumidor e o direito à privacidade | Se não alcançarmos esse equilíbrio, as disciplinas serão inúteis, uma vez que os consumidores perderão a confiança nesse instrumento, se sentirem que sua privacidade está ameaçada ou que não têm nenhuma reparação para suas queixas contra ""e-traders"" de outros países"
Brasileiros desaparecidos nas Bahamas,,26/12/2016,3,Modelo Misto,"Menção à privacidade é contextual, sem posicionamento claro sobre governança digital. Nota não discute diretamente o tema.","Em respeito à privacidade dos brasileiros e à legislação em vigor, o Itamaraty não fornece detalhes sobre a identidade das pessoas em questão"
Direito à privacidade na era digital,,24/03/2017,1,Soberania Digital,Brasil lidera resolução no CDH da ONU com copatrocínio de 68 países sobre direito à privacidade na era digital. Forte posicionamento soberanista e multilateral.,"Direito à privacidade na era digital  No marco da 34ª sessão do Conselho de Direitos Humanos das Nações Unidas (CDH), foi aprovada, por consenso, a resolução sobre o direito à privacidade na era digital, projeto apresentado pelo Brasil, em conjunto com Alemanha, Áustria, Liechtenstein, México e Suíça | A resolução, que já conta com o copatrocínio de 68 países de diferentes regiões, reafirma o direito à privacidade conforme previsto na Declaração Universal de Direitos Humanos e no Pacto Internacional de Direitos Civis e Políticos | O documento do CDH conclama os estados a respeitar e proteger o direito à privacidade, a pôr fim a violações, a prover medidas efetivas de reparação e a assegurar que qualquer restrição ao direito à privacidade deverá respeitar os princípios da legalidade, necessidade e proporcionalidade"
Declaração de Hamburgo dos Líderes do G20 sobre a Luta contra o Terrorismo,,08/07/2017,3,Modelo Misto,Declaração do G20 busca equilíbrio entre segurança e proteção de dados. Posicionamento misto com foco em cooperação internacional.,"Facilitaremos intercâmbios de informação rápidos e diretos entre as autoridades de inteligência, de aplicação da lei e judiciárias sobre compartilhamento operacional de informações, medidas preventivas e resposta em matéria de justiça criminal, assegurando o necessário equilíbrio entre os aspectos de segurança e a proteção de dados, de acordo com a legislação doméstica | Trabalharemos para melhorar a arquitetura de informação internacional existente nas áreas de segurança, viagem e migração, incluindo a INTERPOL, garantindo o equilíbrio necessário entre aspectos de segurança e a proteção de dados"
Solicitação de atribuição de domínio de primeiro nível “.Amazon”,,20/05/2019,1,Soberania Digital,"MRE lamenta decisão da ICANN sobre domínio .Amazon, criticando entidade privada que não leva em conta pareceres governamentais. Forte posicionamento soberanista.","Solicitação de atribuição de domínio de primeiro nível “ | Amazon”  O Ministério das Relações Exteriores lamenta a decisão da Corporação da Internet para Atribuição de Nomes e Números (ICANN), adotada em 17 de maio de 2019, de atribuir o nome de domínio de primeiro nível | A decisão da ICANN, uma entidade de direito privado da qual os Estados não são membros, não leva em conta pareceres de política pública emanados do Comitê Consultivo Governamental da ICANN (GAC, na sigla em inglês), os quais reconhecem o caráter problemático e politicamente sensível do nome de domínio"
Comércio eletrônico na OMC,,03/05/2019,3,Modelo Misto,Discussão sobre comércio eletrônico na OMC aborda proteção de dados e segurança cibernética. Posicionamento misto com foco em regulação.,"Aborda questões como proteção do consumidor e de dados pessoais, além de questões tributárias e relacionadas à segurança cibernética e à cooperação tecnológica"
Processo de adesão à Convenção de Budapeste - Nota Conjunta do Ministério das Relações Exteriores e do Ministério da Justiça e Segurança Pública,,11/12/2019,2,Predominantemente Soberanista,Referência ao Marco Civil da Internet para persecução penal de crimes cibernéticos. Posicionamento soberanista com foco em regulação estatal.,"965/2014, o Marco Civil da Internet, para a persecução penal dos crimes cibernéticos"
XII Cúpula do BRICS,,17/11/2020,2,Predominantemente Soberanista,Declaração do BRICS menciona direito à privacidade e soberania. Posicionamento soberanista com foco em direitos fundamentais.,"Entre outros temas, a declaração incluiu menções à importância da democracia, liberdades fundamentais, direitos humanos, direito à privacidade, soberania, empreendedorismo e transparência"
Assinado Acordo sobre Comércio Eletrônico do MERCOSUL – Nota Conjunta do Ministério das Relações Exteriores e do Ministério da Economia,,30/04/2021,3,Modelo Misto,Acordo de comércio eletrônico do MERCOSUL busca equilíbrio entre facilitação do comércio e proteção de dados. Posicionamento misto.,"Dentre as principais disciplinas incluídas no acordo, cabe destacar a proibição de imposição de direitos aduaneiros sobre transmissões eletrônicas; a aceitação de assinaturas digitais; o alinhamento das normas nacionais de proteção ao consumidor “online” com as normas sobre a matéria vigentes no MERCOSUL; a adoção e a manutenção de marcos legais relativos à proteção de dados pessoais; a livre transferência de informações por meios eletrônicos para fins comerciais; a proibição da exigência de instalação de servidores dentro do próprio território como contrapartida para realização de negócios; a proteção contra mensagens comerciais não solicitadas (“anti-spam”); a facilitação do comércio por meios eletrônicos; e a cooperação por meio da troca de experiências, informações e dados, com o objetivo de maximizar oportunidades proporcionadas pelo comércio eletrônico para micro, pequenas e médias empresas"
