"Titulo","Data","Link","Justificativa","Passagens_Relevantes"
"Discurso proferido pela Presidenta da República, Dilma Rousseff, durante Sessão Plenária do Fórum Econômico Mundial 2014 - Davos, Suíça, 24 de janeiro de 2014","24/01/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/discurso-proferido-pela-presidenta-da-republica-dilma-rousseff-durante-sessao-plenaria-do-forum-economico-mundial-2014-davos-suica-24-de-janeiro-de-2014","A nota aborda infraestrutura digital e transformação tecnológica de forma específica. No tocante ao posicionamento do MRE, destaca-se: ""Outro desafio de infraestrutura é a extensão – e este é, a partir deste ano – é a extensão para todo o território brasileiro, de uma rede de banda larga de alta capacidade. Essa rede servirá de alicerce, também, para a política educacional que desenvolvemos e que prioriza a inclusão e a qualidade.""","Outro desafio de infraestrutura é a extensão – e este é, a partir deste ano – é a extensão para todo o território brasileiro, de uma rede de banda larga de alta capacidade. Essa rede servirá de alicerce, também, para a política educacional que desenvolvemos e que prioriza a inclusão e a qualidade."
"Atos assinados por ocasião da visita do Chanceler da Côte d'Ivoire, Charles Koffi Diby - Brasília, 4 de fevereiro de 2014","04/02/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/atos-assinados-por-ocasiao-da-visita-do-chanceler-da-cote-d-ivoire-charles-koffi-diby-brasilia-4-de-fevereiro-de-2014","A nota aborda soberania digital e cibersegurança de forma específica. No tocante ao posicionamento do MRE, destaca-se: ""...Econômica, Técnica, Cultural, Comercial, Científica e Tecnológica sobre a base dos princípios da igualdade de direitos, da independência e soberania nacional, e da não ingerência nos assuntos internos de outro Estado;""","...Econômica, Técnica, Cultural, Comercial, Científica e Tecnológica sobre a base dos princípios da igualdade de direitos, da independência e soberania nacional, e da não ingerência nos assuntos internos de outro Estado;"
"Declaração Conjunta dos Ministros de Relações Exteriores do Reino da Espanha e da República Federativa do Brasil – Madri, 18 de março de 2014","18/03/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-conjunta-dos-ministros-de-relacoes-exteriores-do-reino-da-espanha-e-da-republica-federativa-do-brasil-madri-18-de-marco-de-2014","A nota aborda governança da internet e soberania digital e cibersegurança, aportando ao debate sobre governança digital global. Trecho-chave: ""...dispostos a trabalhar em estreita colaboração a fim de enfrentar os novos desafios globais. Os Ministros mencionaram, entre outros temas, a governança da Internet, e se referiram à Reunião Multissetorial Global sobre o Futuro da Governança da Internet, a ser realizada em São Paulo, em 23 e 24 de abril, e da...""","...dispostos a trabalhar em estreita colaboração a fim de enfrentar os novos desafios globais. Os Ministros mencionaram, entre outros temas, a governança da Internet, e se referiram à Reunião Multissetorial Global sobre o Futuro da Governança da Internet, a ser realizada em São Paulo, em 23 e 24 de abril, e da... | ...da Internet, a ser realizada em São Paulo, em 23 e 24 de abril, e da próxima celebração, de 20 a 23 de março, em Madri, de seminário sobre Segurança Cibernética para Representantes Permanentes junto às Nações Unidas”."
"Visita do Ministro das Relações Exteriores à Alemanha – Berlim, 21 de março de 2014","20/03/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-do-ministro-das-relacoes-exteriores-a-alemanha-berlim-21-de-marco-de-2014","A nota aborda privacidade e proteção de dados pessoais de forma específica. No tocante ao posicionamento do MRE, destaca-se: ""...e à segurança das comunicações eletrônicas. Em dezembro de 2013, a Assembleia Geral da ONU adotou, por consenso, o projeto de resolução O Direito à Privacidade na Era Digital, proposto pelo Brasil e pela Alemanha.""","...e à segurança das comunicações eletrônicas. Em dezembro de 2013, a Assembleia Geral da ONU adotou, por consenso, o projeto de resolução O Direito à Privacidade na Era Digital, proposto pelo Brasil e pela Alemanha."
"Visita ao Brasil do Ministro dos Negócios Estrangeiros da Noruega, Børge Brende - Rio de Janeiro e Brasília, 19 e 20 de fevereiro de 2014","20/04/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-ao-brasil-do-ministro-dos-negocios-estrangeiros-da-noruega-borge-brende-rio-de-janeiro-e-brasilia-19-e-20-de-fevereiro-de-2014","A nota aborda privacidade e proteção de dados pessoais de forma específica. No tocante ao posicionamento do MRE, destaca-se: ""...entre as quais a situação na Síria e no Oriente Médio. Os Chanceleres examinarão, ademais, questões relacionadas ao meio ambiente e ao direito à privacidade na era digital.""","...entre as quais a situação na Síria e no Oriente Médio. Os Chanceleres examinarão, ademais, questões relacionadas ao meio ambiente e ao direito à privacidade na era digital."
"Documentos assinados por ocasião da VII Cúpula Brasil–União Europeia – Bruxelas, 24 de fevereiro de 2014","20/04/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/documentos-assinados-por-ocasiao-da-vii-cupula-brasil-uniao-europeia-bruxelas-24-de-fevereiro-de-2014","A nota aborda soberania digital e cibersegurança e infraestrutura digital e transformação tecnológica, aportando ao debate sobre governança digital global. Trecho-chave: ""...União Europeia estão comprometidos em reforçar o valor estratégico, a eficiência e o impacto da cooperação no âmbito das TICs.
  
  A cooperação em computação em nuvem (cloud computing), padrões de endereçamento, mecanismos de certificação, contratos justos e seguros, bem como arcabouços legislativos será...""","...União Europeia estão comprometidos em reforçar o valor estratégico, a eficiência e o impacto da cooperação no âmbito das TICs.
  
  A cooperação em computação em nuvem (cloud computing), padrões de endereçamento, mecanismos de certificação, contratos justos e seguros, bem como arcabouços legislativos será... | ...uma Infraestrutura Cibernética Avançada, incluindo tópicos como Computação Avançada e de Alto Desempenho, experimentações da Internet do Futuro e Computação em Nuvem, o que será o primeiro exemplo de uma cooperação internacional consistente e focada no âmbito do H2020. Além disso, os cientistas brasileiros podem... | ...estimulará a distribuição de banda larga na América do Sul, diminuindo os preços para os usuários finais e também contribuirá para aumentar a segurança cibernética, a confiança e a privacidade dos consumidores nos fluxos de informação na internet e em nuvem (cloud computing).
  
  Esse projeto irá aprofundar a..."
"VII Cúpula Brasil–União Europeia - Bruxelas, 24 de fevereiro de 2014 - Comunicado Conjunto","20/04/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/vii-cupula-brasil-uniao-europeia-bruxelas-24-de-fevereiro-de-2014-comunicado-conjunto","A nota abrange múltiplos eixos temáticos da governança digital global: governança da internet, privacidade e proteção de dados pessoais, infraestrutura digital e transformação tecnológica e regulação de plataformas e serviços digitais. Como evidência, destaca-se: ""...developed between our economies. We also welcomed the good progress made towards the adoption of the joint Action Plan that should serve as a roadmap for the next year. A progress report should be submitted to the next Summit.""","...developed between our economies. We also welcomed the good progress made towards the adoption of the joint Action Plan that should serve as a roadmap for the next year. A progress report should be submitted to the next Summit. | 16. In the domain of ICT cooperation we welcomed the enlarged policy cooperation in Cloud Computing. On ICT infrastructure, we welcomed the plans for the future installation of a fibre-optic submarine cable linking Brazil and Europe, which will... | ...Dialogue on International Cyber Policy which will address a number of specific priority areas, including the right to freedom of expression and privacy, and will report progress within a year."
"Apresentação do candidato brasileiro à Direção-Geral da OMC, Embaixador Roberto Azevêdo, ao Conselho-Geral da OMC","30/04/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/apresentacao-do-candidato-brasileiro-a-direcao-geral-da-omc-embaixador-roberto-azevedo-ao-conselho-geral-da-omc","A nota aborda regulação de plataformas e serviços digitais de forma específica. No tocante ao posicionamento do MRE, destaca-se: ""...to believe that any Bali outcomes will not be the end of the road. A post-Bali process could include DDA and non-DDA elements but, whatever the roadmap, it must prioritise the issues of interest of the poorest countries.""","...to believe that any Bali outcomes will not be the end of the road. A post-Bali process could include DDA and non-DDA elements but, whatever the roadmap, it must prioritise the issues of interest of the poorest countries."
"Calendário de eventos entre 17 e 25 de maio de 2014","16/05/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/calendario-de-eventos-entre-17-e-25-de-maio-de-2014","A nota aborda governança da internet de forma específica. No tocante ao posicionamento do MRE, destaca-se: ""19 a 21/MAI – Paris, França. UNESCO: Consulta Aberta e Reunião do Grupo Multissetorial Consultivo do ""Internet Governance Forum"" (IGF) para elaborar o programa da 9ª Reunião do mencionado fórum, que ocorrerá em Istambul, de 2 a 5 de setembro de 2014). (Fonte: Brasunesco)""","19 a 21/MAI – Paris, França. UNESCO: Consulta Aberta e Reunião do Grupo Multissetorial Consultivo do ""Internet Governance Forum"" (IGF) para elaborar o programa da 9ª Reunião do mencionado fórum, que ocorrerá em Istambul, de 2 a 5 de setembro de 2014). (Fonte: Brasunesco)"
"Reino Unido sedia reunião de Diálogo Estratégico com o Brasil","22/05/2014","https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/reino-unido-sedia-reuniao-de-dialogo-estrategico-com-o-brasil","A nota aborda soberania digital e cibersegurança de forma específica. No tocante ao posicionamento do MRE, destaca-se: ""...decidiram que conversas sobre assuntos político-militares deverão ser mantidas tão logo possível, para aprofundar discussões em torno de segurança cibernética, manutenção da paz e outros assuntos correlatos. Confirmaram o compromisso com o aumento do intercâmbio de visitas bilaterais, a fim de aprofundar...""","...decidiram que conversas sobre assuntos político-militares deverão ser mantidas tão logo possível, para aprofundar discussões em torno de segurança cibernética, manutenção da paz e outros assuntos correlatos. Confirmaram o compromisso com o aumento do intercâmbio de visitas bilaterais, a fim de aprofundar... | ...Treaty in 2015. Ministers decided that political/military discussion should be held at the earliest opportunity to deepen discussion on cyber security, peacekeeping and other related issues. They confirmed their commitment to expanding a programme of exchange visits to deepen knowledge and..."
