Titulo,Data,Link,Justificativa,Passagens_Relevantes,Origem
"Relatório da Alta Comissária para Direitos Humanos da ONU sobre ""O Direito à Privacidade na Era Digital""",22/07/2014,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/relatorio-da-alta-comissaria-para-direitos-humanos-da-onu-sobre-o-direito-a-privacidade-na-era-digital,"Nota sobre relatório da ONU que examina a proteção do direito à privacidade na era digital. Iniciativa conjunta Brasil-Alemanha após caso Snowden, demonstrando liderança brasileira em governança digital global.","O Governo brasileiro manifesta satisfação com a divulgação do relatório ""O direito à privacidade na era digital"" | Trata-se de resposta à solicitação da resolução apresentada por Brasil e Alemanha durante a 68ª Assembleia Geral das Nações Unidas",Filtragem
"Criação da Relatoria Especial sobre ""O Direito à Privacidade na Era Digital""",26/03/2015,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/criacao-da-relatoria-especial-sobre-o-direito-a-privacidade-na-era-digital,"Criação de relatoria especial da ONU sobre privacidade digital, resultado de iniciativa brasileira. Marco importante na governança global de direitos digitais.","O Governo brasileiro registra, com satisfação, a adoção pelo Conselho de Direitos Humanos das Nações Unidas de resolução de iniciativa do Brasil e da Alemanha | A resolução cria relatoria especial sobre o direito à privacidade para lidar com os desafios da era digital",Filtragem
Direito à privacidade na era digital,24/03/2017,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/direito-a-privacidade-na-era-digital,"Resolução sobre privacidade digital aprovada no CDH da ONU, com copatrocínio de 68 países. Demonstração do engajamento brasileiro em governança de direitos digitais.","Foi aprovada, por consenso, a resolução sobre o direito à privacidade na era digital, projeto apresentado pelo Brasil | A resolução, que já conta com o copatrocínio de 68 países de diferentes regiões, reafirma o direito à privacidade",Filtragem
Solicitação de atribuição do nome de domínio de primeiro nível “.Amazon”,11/03/2019,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2019/solicitacao-de-atribuicao-do-nome-de-dominio-de-primeiro-nivel-amazon,"Disputa sobre domínio .Amazon na ICANN, questão central de governança da internet. Brasil defende participação de países amazônicos contra exclusividade corporativa.","O Conselho Diretor da ICANN adotou resolução a respeito da atribuição do nome de domínio de primeiro nível "".Amazon"" à empresa Amazon Inc. | A medida dispõe que, na ausência de um acordo entre os países amazônicos e a companhia",Filtragem
Solicitação de atribuição de domínio de primeiro nível “.Amazon”,18/04/2019,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2019/solicitacao-de-atribuicao-de-dominio-de-primeiro-nivel-amazon,Posicionamento brasileiro contra proposta da Amazon Inc. na ICANN. Defesa de soberania digital e governança multissetorial da internet.,"A empresa Amazon Inc. submeteu à ICANN proposta para obter o domínio de primeiro nível .AMAZON | Que, na visão do Brasil, não atende preocupações importantes dos países da OTCA",Filtragem
Solicitação de atribuição de domínio de primeiro nível “.Amazon”,20/05/2019,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2019/solicitacao-de-atribuicao-de-dominio-de-primeiro-nivel-amazon-2,Reação brasileira à decisão da ICANN de atribuir domínio .Amazon. Demonstração de resistência a decisões de governança da internet que afetam soberania nacional.,O Ministério das Relações Exteriores lamenta a decisão da ICANN de atribuir o nome de domínio de primeiro nível .Amazon à empresa Amazon Inc. | Em regime de exclusividade e na ausência de uma solução mutuamente aceitável,Filtragem
Declaração de Osaka sobre Economia Digital,29/06/2019,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2019/declaracao-de-osaka-sobre-economia-digital,Declaração do G20 sobre economia digital. Brasil participa de讨论 sobre transformação digital e seus impactos em economias e sociedades.,"Nós, os Líderes da Alemanha, Arábia Saudita, Argentina, Austrália, Brasil, Canadá, China, Coréia do Sul, Estados Unidos | Compartilham a visão de que a digitalização está transformando todos os aspectos de nossas economias e sociedades",Filtragem
Assinatura do Memorando de Entendimento entre o Brasil e o Chile sobre Cooperação na área de Telecomunicações e Economia Digital,24/07/2020,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/2020/assinatura-do-memorando-de-entendimento-entre-o-brasil-e-o-chile-sobre-cooperacao-na-area-de-telecomunicacoes-e-economia-digital,Acordo bilateral Brasil-Chile sobre telecomunicações e economia digital. Cooperação em infraestrutura digital e conexão.,"Assinaram hoje o Memorando de Entendimento entre o Brasil e o Chile sobre Cooperação em Telecomunicações e Economia Digital | O instrumento permitirá aprofundar a cooperação bilateral em áreas estratégicas, tais como conexão digital, infraestrutura",Filtragem
Adoção do relatório do Grupo de Peritos Governamentais das Nações Unidas sobre segurança cibernética,31/05/2021,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/adocao-do-relatorio-do-grupo-de-peritos-governamentais-das-nacoes-unidas-sobre-seguranca-cibernetica,Adoção de relatório da ONU sobre segurança cibernética. Brasil participa de discussões sobre normas de comportamento responsible em ciberespaço.,"O governo brasileiro recebeu, com satisfação, a adoção por consenso do relatório do Grupo de Peritos Governamentais das Nações Unidas sobre Segurança Cibernética | Estabelecido pela resolução A/RES/73/266 da Assembleia Geral das Nações Unidas",Filtragem
"Participação do Ministro Mauro Vieira na Cúpula para Ação em Inteligência Artificial – Paris, 10 e 11 de fevereiro de 2025",09/02/2025,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/participacao-do-ministro-mauro-vieira-na-cupula-para-acao-em-inteligencia-artificial-2013-paris-10-e-11-de-fevereiro-de-2025,Participação brasileira em cúpula sobre governança de IA. Apresentação da experiência brasileira em governança digital e defesa da democracia.,"O Ministro Mauro Vieira chefiará a delegação brasileira à Cúpula para Ação em Inteligência Artificial | Participará de painel sobre a governança da inteligência artificial, no qual apresentará a experiência brasileira em governança digital",Filtragem
Declaração dos Líderes do BRICS sobre Governança Global da Inteligência Artificial,06/07/2025,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-dos-lideres-do-brics-sobre-governanca-global-da-inteligencia-artificial,Declaração dos BRICS sobre governança global de IA. Posicionamento conjunto sobre desenvolvimento responsável de inteligência artificial.,Declaração dos Líderes do BRICS sobre Governança Global da Inteligência Artificial | A Inteligência Artificial representa uma oportunidade única para impulsionar o desenvolvimento em direção a um futuro mais equitativo,Filtragem
Seleção de brasileiro ao Prêmio da UNESCO para Pesquisa Científica sobre Ética na Inteligência Artificial,06/11/2025,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/selecao-de-brasileiro-ao-premio-da-unesco-para-pesquisa-cientifica-sobre-etica-na-inteligencia-artificial,Reconhecimento internacional de pesquisador brasileiro em ética de IA. Demonstra relevância do Brasil em discussões sobre governança de inteligência artificial.,"O governo brasileiro recebeu, com grande satisfação, o anúncio da seleção do professor Virgílio Almeida para a edição inaugural do Prêmio UNESCO-Uzbequistão para Pesquisa Científica sobre Ética na Inteligência Artificial | A premiação é oferecida pela UNESCO para reconhecer iniciativas e pesquisas que abordam os desafios éticos da IA",Filtragem
