"Titulo","Data","Link","Categoria","Autoridade","Justificativa","Passagens_Relevantes"
"Conferência Ministerial ""Eliminar o Fosso Digital: a Resposta Digital à Covid-19"" - 1º de julho de 2020","01/07/2020","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/ernesto-araujo/conferencia-ministerial-close-the-digital-divides-the-digital-response-to-covid-19-1-de-julho-de-2020","discursos","ministro-das-relacoes-exteriores","O discurso aborda diretamente a governança digital ao defender a liberdade da internet e a liberdade de expressão como respostas digitais fundamentais à Covid-19, além de destacar a digitalização de serviços públicos e a proteção de infraestrutura de telecomunicações. Traz posição qualitativa do MRE favorável à internet livre e à inclusão por meio de conectividade.","Nesse sentido, acreditamos firmemente que a liberdade da Internet e a liberdade de expressão são absolutamente fundamentais em uma sociedade democrática, e que a proteção e o aprimoramento da liberdade da Internet são a resposta digital mais fundamental para a Covid-19. | Deve também ser levado em consideração em nossa abordagem da própria estrutura de nossas sociedades, do tipo de sociedade em que queremos viver.', 'A liberdade da Internet será ainda mais crucial do que antes. | O fosso digital não é apenas uma questão de acesso a infraestrutura, serviços e dispositivos digitais, mas, também, ao conteúdo e às liberdades básicas, especialmente a liberdade de expressão."
"Intervenções do Ministro das Relações Exteriores, Ernesto Araújo, na cerimônia de lançamento dos estudos da OCDE “A Caminho da Era Digital no Brasil” e “Telecomunicações e Radiofusão no Brasil” (2ª parte)","26/10/2020","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/ernesto-araujo/intervencoes-do-ministro-das-relacoes-exteriores-ernesto-araujo-na-cerimonia-de-lancamento-dos-estudos-da-ocde-201ca-caminho-da-era-digital-no-brasil201d-e-201ctelecomunicacoes-e-radiofusao-no-brasil201d-2a-parte","discursos","ministro-das-relacoes-exteriores","Trata da evolução digital e das telecomunicações como 'linha de frente' que decidirá se as sociedades serão livres, discutindo a transformação digital como ferramenta de inclusão e seus riscos de controle social e manipulação. Estabelece conexão direta com a governança global digital e a regulação de tecnologias.","A transformação digital e as telecomunicações são extraordinariamente democratizantes, com um potencial enorme de inclusão social e inclusão econômica, mas também de inclusão política, de inclusão dos cidadãos na condução dos negócios de seus países.', 'Por outro lado, têm, também, um potencial perigoso, o potencial de favorecer o controle social e a manipulação. | Nós acreditamos que a OCDE e os seus atuais membros também têm muito a ganhar ao verem um país das dimensões do Brasil, com a capacidade do Brasil e com o nosso impulso liberalizador e espírito inovador ingressar na organização.', 'A evolução digital e as telecomunicações constituem hoje, talvez, a linha de frente que decidirá o futuro das sociedades: se serão sociedades livres ou se rumarão para outras opções."
"Intervenções do Ministro das Relações Exteriores, Ernesto Araújo, na cerimônia de lançamento dos estudos da Organização para a Cooperação e Desenvolvimento Econômico (OCDE) “A Caminho da Era Digital no Brasil” e “Telecomunicações e Radiofusão no Brasil”","26/10/2020","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/ernesto-araujo/intervencoes-do-ministro-das-relacoes-exteriores-ernesto-araujo-na-cerimonia-de-lancamento-dos-estudos-da-organizacao-para-a-cooperacao-e-desenvolvimento-economico-ocde-201ca-caminho-da-era-digital-no-brasil201d-e-201ctelecomunicacoes-e-radiofusao-no","discursos","ministro-das-relacoes-exteriores","Discursos de abertura do lançamento dos estudos 'Going Digital' e de telecomunicações da OCDE, abordando a digitalização da sociedade brasileira, políticas públicas digitais e cooperação internacional em economia digital. Relaciona-se à governança global digital e à regulação de telecomunicações.","E, do lado da OCDE, é claro, o Secretário-Geral Ángel Gurría e demais colegas da OCDE, Embaixador Cozendey.', 'Tenho o prazer de abrir esta cerimônia de lançamento de duas revisões por pares (peer reviews) realizadas pelo Comitê de Política de Economia Digital (CDEP) da OCDE, denominadas “O caminho da era digital no Brasil” (“Going Digital in Brazil“), no âmbito do Programa “Going Digital” (“Tornando-se digital”) da OCDE, e “Telecomunicações e Radiodifusão no Brasil”\xa0(“Telecommunications and Broadcasting in Brazil”), a outra revisão por pares.', 'Como todos sabemos, as análises possibilitam | Essa é uma questão central para o governo do Brasil.', 'Como afirmou o Presidente Jair Bolsonaro na Assembleia Geral das Nações Unidas, o Brasil está aberto ao desenvolvimento de tecnologia e de inovação de ponta, como a indústria 4.0, a inteligência artificial, a nanotecnologia e a tecnologia 5G, com quaisquer parceiros que respeitem nossa soberania e prezem pela liberdade e a proteção de dados. | Ele também fornece contribuições significativas para que nossas políticas avancem nessa direção.', '“O caminho da era digital no Brasil” faz uma avaliação ampla e precisa de como o país pode promover sua transformação digital."
"Intervenção do Ministro Ernesto Araújo na Reunião Ministerial América Latina e Caribe – União Européia Painel temático III: Aliança Digital/ Cooperação Digital - 14/12/2020","15/12/2020","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/ernesto-araujo/intervencao-do-ministro-ernesto-araujo-na-reuniao-ministerial-america-latina-e-caribe-2013-uniao-europeia-painel-tematico-iii-alianca-digital-cooperacao-digital-14-de-dezembro-de-2020","discursos","ministro-das-relacoes-exteriores","Painel temático sobre Aliança Digital e Cooperação Digital entre América Latina/Caribe e UE, com ênfase na evolução digital, nas telecomunicações e no papel da circulação de informações para a sociedade pós-pandemia. Trata explicitamente de cooperação digital internacional.","Além de contribuir para fortalecer nossos países em tempos de crises globais, o comércio eletrônico continuará a desempenhar papel relevante no processo de recuperação em curso de nossas economias, ao ser incorporado no dia a dia de uma grande parcela de nossas populações.', 'Precisamos, nesse contexto, estabelecer regras internacionais que garantam segurança jurídica e previsibilidade para as empresas e que assegurem, igualmente, um ambiente com direitos ao consumidor, à sua privacidade e aos seus dados pessoais.', 'A digitalização da economia instaura, portanto, oportunidades de imenso poten | O aumento da conectividade digital deve caminhar junto ao fortalecimento de medidas de segurança cibernética.', 'Senhoras e Senhores,', 'O crescimento incessante de operações cibernéticas maliciosas tornou-se uma espécie de mal-estar do nosso tempo.', 'Essas operações, associadas à disseminação de desinformação, constituem grave e crescente ameaça à liberdade de expressão em nossos países e em nossos meios de circulação de informações, com consequências perigosas sobre nossas economias, nossos povos e mesmo nossas liberdades, se não soubermos agir tempestivamente para garantir a segurança cibe | O exercício do direito à privacidade é crucial para a consecução plena dessas liberdades e para o desenvolvimento de opiniões sem interferências, livres do medo e da opressão.', 'No plano mundial, o Brasil tem-se empenhado em promover um ciberespaço aberto, seguro e protegido."
"Intervenção do Ministro Ernesto Araújo na 46ª Sexta Sessão do Conselho de Direitos Humanos da ONU - 22/02/2021","22/02/2021","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/ernesto-araujo/intervencao-do-ministro-ernesto-araujo-na-46a-sexta-sessao-do-conselho-de-direitos-humanos-da-onu-22-02-2021","discursos","ministro-das-relacoes-exteriores","Aborda o 'tecnototalitarismo' — bloqueio de plataformas, controle de conteúdo, uso abusivo de algoritmos e a maré crescente de controle da internet — como ameaça aos direitos humanos. Conexão direta com a governança da internet e os direitos humanos no ciberespaço.","Não critico as medidas de lockdown ou semelhantes, que tantos países aplicam, mas não se pode aceitar um lockdown do espírito humano, o qual depende fundamentalmente da liberdade e dos direitos humanos para exercer, assim, sua plenitude.', 'Assim, reafirmamos nossa determinação de, em conjunto com todas as nações, trabalharmos por uma ordem internacional que honre os padrões estabelecidos na Declaração Universal e em outros tratados internacionais de direitos humanos, diante dos desafios do presente.', 'E o grande desafio de hoje é aquilo que chamo de tecnototalitarismo: do bloqueio de platafo | Ao longo de toda a aventura humana, desde a descoberta do fogo até a energia nuclear, o desafio de cada época foi sempre o de incorporar as novas tecnologias em favor do bem da humanidade.', 'O século 21 é o século da tecnologia da informação, da inteligência artificial, e nossa tarefa é garantir que essas tecnologias sirvam para libertar e engrandecer o ser humano, a partir da sua dignidade intrínseca, e não para submetê-lo ou apequená-lo, transformando cada homem e cada mulher numa simples coleção de dados a serem explorados.', 'Está em nossas mãos garantir que a tecnologia trabalhe a favor  | Mas essas tecnologias têm sido cada vez mais submetidas à censura, à vigilância e à criação de mecanismos de controle social.', 'Qualquer tecnologia traz um potencial de libertação, criatividade e bem-estar e, ao mesmo tempo, traz também um potencial destrutivo."
"Intervenção do Sr. Ministro de Estado na abertura do seminário  “A Cadeia Internacional de Semicondutores e o Brasil”  (27 de abril de 2022)","27/04/2022","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/carlos-alberto-franco-franca/intervencao-do-sr-ministro-de-estado-na-abertura-do-seminario-201ca-cadeia-internacional-de-semicondutores-e-o-brasil201d-27-de-abril-de-2022","discursos","ministro-das-relacoes-exteriores","Trata da cadeia internacional de semicondutores e da inserção do Brasil nesse segmento estratégico, tema central das tecnologias digitais e da autonomia em bens críticos. Relaciona-se à governança global de tecnologias digitais e a cadeias de suprimento.","Rogério Nunes, presidente da Associação Brasileira de Indústria de Semicondutores, a ABISEMI, a Embaixadora Márcia Loureiro, que é Presidente da FUNAG, e o Ministro Augusto Pestana, Presidente da Apex.', 'Em nome da Embaixadora Márcia Donner, que se dirige para a Coreia do Sul, um país chave dentro deste tema que nós tratamos, e o Embaixador Achilles Zaluar, Chefe de Gabinete do Ministério das Relações Exteriores, eu cumprimento todas as senhoras e senhores embaixadores aqui presentes. | Embaixador, muito obrigado por o senhor ter saído de São Paulo e vindo aqui.', 'É para mim uma satisfação participar da abertura deste importante seminário, em que serão discutidas as cadeias internacionais de suprimento de semicondutores e a inserção do Brasil nessa nova realidade. | Trata-se de um tema ao qual o Presidente Jair Bolsonaro atribui grande importância.', 'A ideia de realizar o seminário surgiu do diálogo permanente que mantemos com outros ministérios, sobretudo da Economia, das Comunicações e de Ciência, Tecnologia e Inovações, e também com representantes do setor produtivo de semicondutores.', 'A organização do evento ficou a cargo do Departamento de Ciência, Tecnologia e Propriedade Intelectual e da Fundação Alexandre de Gusmão, ambos do Itamaraty.', 'Como sabemos, uma das tendências mais acentuadas do comércio internacional é o crescimento da economia digi"
"Discurso do Ministro Mauro Vieira durante a abertura da  5ª Conferência Nacional de Ciência, Tecnologia & Inovação - Brasília, 4 de abril de 2024","04/04/2024","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/mauro-vieira/discurso-do-ministro-mauro-vieira-durante-a-abertura-da-5a-conferencia-nacional-de-ciencia-tecnologia-inovacao-brasilia-4-de-abril-de-2024","discursos","ministro-das-relacoes-exteriores","Discute a politização de tecnologias críticas (IA, tecnologias quânticas, semicondutores), a revolução digital, riscos de perda de privacidade e de viés em algoritmos, e cita o Pacto Global Digital da ONU e as diretrizes da UNESCO para plataformas digitais. Tratamento substantivo da governança da IA e digital.","['Senhoras e senhores,', 'É com grande honra e satisfação que me uno a vocês na abertura desta importante conferência sobre a internacionalização da ciência, tecnologia e inovação do Brasil.', 'Quero expressar minha gratidão ao Ministério Da Ciência, Tecnologia e Inovação, em especial à Ministra Luciana Santos, por sua parceria neste evento, que busca promover o avanço do conhecimento e do desenvolvimento do nosso País.', 'Esta conferência tem por objetivo discutir o papel fundamental da ciência, da tecnologia e da inovação na construção de um futuro próspero, em especial diante das desigualda | Além disso, enfrentamos riscos como perda de privacidade e viés racista e misógino em algoritmos.', 'Iniciativas como o Pacto Global Digital da ONU e as Diretrizes Globais para a Regulamentação de Plataformas Digitais da UNESCO são essenciais para enfrentar esses desafios, garantindo que os benefícios da tecnologia sejam compartilhados por todos e que haja uma participação inclusiva de especialistas de países em desenvolvimento.', 'Nossa visão para a inserção internacional do Brasil em ciência, tecnologia e inovação é guiada por compromisso do País com a promoção do desenvolvimento sustentável | Para 2024, temos 234 ações aprovadas, a serem realizadas em 50 postos no exterior.', 'Por fim, quero tratar de um ponto que será discutido no Painel 1 desta conferência: a colaboração e o acesso a infraestruturas de pesquisa.', 'No mês passado, o Brasil tornou-se o único país do continente americano a ingressar como Membro Associado na Organização Europeia para a Pesquisa Nuclear (CERN), um dos maiores e mais respeitados centros de pesquisa científica do mundo.', 'Essa conquista foi resultado de intensa coordenação dentro do governo federal, capitaneada conjuntamente pelo Itamaraty e pelo Mini"
"Discurso do Ministro Mauro Vieira no  Seminário “Relações Internacionais, Política Externa e Direitos LGBTQIA+"" - 25/06/2024","25/06/2024","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/mauro-vieira/discurso-do-ministro-mauro-vieira-no-seminario-201crelacoes-internacionais-politica-externa-e-direitos-lgbtqia-25-06-2024","discursos","ministro-das-relacoes-exteriores","Aponta que mídias sociais e inteligência artificial potencializam discursos de ódio e a angústia social, relacionando tecnologias digitais a desafios de direitos humanos. Conexão com os impactos sociais da IA e das plataformas digitais.","Testemunhei períodos de otimismo, outros de apreensão, mas nenhum mais desafiador do que o atual.', 'A escalada de crises climático-sanitárias, desigualdades socioeconômicas, tensões geopolíticas e conflitos internacionais geram angústia social crescente, potencializada por mídias sociais e inteligência artificial. | Poucos países mantém dados desagregados por orientação sexual e identidade de gênero. | Sabemos, contudo, que o Brasil é o país com maior número registrado de assassinatos de pessoas LGBTQIA+.', 'Isso mostra que o Estado brasileiro, diferentemente da grande maioria dos países, faz o seu dever em manter dados desagregados, mas também demonstra a gravidade do problema."
"Abertura do seminário “Inteligência Artificial e Mudança do Clima – Tecnologia a favor do desenvolvimento sustentável e de uma transição justa”","29/01/2025","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/mauro-vieira/abertura-do-seminario-201cinteligencia-artificial-e-mudanca-do-clima-2013-tecnologia-a-favor-do-desenvolvimento-sustentavel-e-de-uma-transicao-justa201d","discursos","ministro-das-relacoes-exteriores","Seminário sobre IA e mudança do clima, com participação do Comitê Gestor da Internet no Brasil e do ITS Rio, discutindo o papel da IA como tecnologia disruptiva e seus impactos. Relaciona a IA à governança digital e ao desenvolvimento sustentável.","['Eu queria começar agradecendo ao Tribunal de Contas e ao Vice-Presidente do Tribunal de Contas da União, Ministro Jorge Oliveira, por nos recepcionar hoje aqui para esse importante seminário.', 'É um grande prazer recebê-los neste seminário internacional sobre “Inteligência Artificial e Mudança do Clima”, organizado pelo Ministério das Relações Exteriores, em parceria com o Ministério da Ciência, Tecnologia e Inovação e com a Fundação Alexandre de Gusmão, do Ministério das Relações Exteriores.', 'Reafirmo nossos agradecimentos ao Tribunal de Contas da União, por ceder este belo espaço, bem c | A emergência da inteligência artificial, uma das tecnologias mais poderosas da atualidade, se apresenta como uma nova dinâmica, com impactos importantes nesse esforço.', 'Com este seminário, propomos debater com os demais órgãos de governo, sociedade civil, academia, setor privado e organizações internacionais como a Inteligência Artificial pode ser uma importante aliada no enfrentamento da mudança do clima. | Em especial, dadas as suas funções avançadas de predição, otimização e até mesmo de geração de conteúdo.', 'Queremos discutir, também, maneiras de reduzir os impactos ambientais da proliferação de sistemas de Inteligência Artificial."
"Discurso do Ministro Antonio de Aguiar Patriota em Debate Aberto do CSNU sobre o papel de organizações regionais e sub-regionais no diálogo para a paz","16/01/2025","https://www.gov.br/mre/pt-br/centrais-de-conteudo/publicacoes/discursos-artigos-e-entrevistas/ministro-das-relacoes-exteriores/discursos-mre/antonio-de-aguiar-patriota/discurso-do-ministro-antonio-de-aguiar-patriota-em-debate-aberto-do-csnu-sobre-o-papel-de-organizacoes-regionais-e-sub-regionais-no-dialogo-para-a-paz","discursos","ministro-das-relacoes-exteriores","Trata da interceptação de comunicações e de programas de espionagem que violam a privacidade e os direitos humanos, no contexto pós-Snowden. Conexão direta com a soberania digital, a privacidade online e os direitos humanos no ciberespaço.","['A interceptação de comunicações e as ações de espionagem\xa0em nossa região, que fazem parte de práticas que atentam contra\xa0as soberanias, constituem uma violação dos direitos humanos, em\xa0particular do direito à privacidade e do direito à informação de\xa0nossos cidadãos e cidadãs.Os Chanceleres dos Estados-Partes do MERCOSUL realizamos\xa0ontem, dia 5, gestão junto ao Secretário-Geral da ONU para\xa0transmitir-lhe a posição adotada em Montevidéu sobre o tema da\xa0interceptação de comunicações. | Trata-se de questão grave,\xa0com profundo impacto sobre o ordenamento internacional.\xa0O Brasil está se articulando com países que nutrem preocupações\xa0semelhantes em benefício de uma ordem internacional respeitosada soberania dos Estados e dos direitos humanos.', 'Nesse sentido, saúdo a oportuna declaração de 12 de julho\xa0passado da Alta Comissária para os Direitos Humanos, Navi Pillay,\xa0de que “programas de monitoramento sem mecanismos adequados\xa0para garantir o direito à privacidade podem impactar negativamente\xa0o gozo dos direitos humanos e liberdades fundamentais”.\xa0Pillay c | O trabalho de Brahimi sintetiza as possibilidades de uma\xa0articulação entre o regional e o multilateral no âmbito das relações\xa0internacionais.', 'Não podemos deixar de tomar nota cuidadosa das palavras do\xa0Presidente da Comissão Internacional de Inquérito do Conselho\xa0de Direitos Humanos, Paulo Sergio Pinheiro, perante a Assembleia\xa0Geral da ONU, em 29 de julho passado, de que “não há solução\xa0\xa0militar para o conflito sírio” e que “aqueles que fornecem armas\xa0às partes combatentes não estão favorecendo a vitória, mas uma\xa0ilusão da vitória”."
