data,titulo,classificacao,justificativa,link
24/10/2024,Governador do RJ diz que traficantes atiraram contra pessoas nas ruas,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/governo-do-rio-diz-que-bandidos-atiraram-contra-pessoas-nas-ruas
24/10/2024,STF autoriza funcionamento de lixões até fim do prazo de licenciamento,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/justica/noticia/2024-10/stf-autoriza-funcionamento-de-lixoes-ate-fim-do-prazo-de-licenciamento
24/10/2024,Governo autoriza contratação de moradias em oito estados,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/governo-autoriza-contratacao-de-moradias-em-oito-estados
24/10/2024,"Ao lado de Campos Neto, Haddad defende fortalecimento de marco fiscal",NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/economia/noticia/2024-10/ao-lado-de-campos-neto-haddad-defende-fortalecimento-de-marco-fiscal
24/10/2024,Polícia paulista aponta envolvimento de 4 pessoas em ataque a prefeito,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/politica/noticia/2024-10/policia-paulista-aponta-envolvimento-de-4-pessoas-em-ataque-a-prefeito
24/10/2024,"Haddad: inflação deve ficar dentro da meta, mesmo com repique",NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/economia/noticia/2024-10/haddad-inflacao-deve-ficar-dentro-da-meta-mesmo-com-repique
24/10/2024,EBC: edital para produção audiovisual prevê regionalização e inclusão,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/ebc-edital-para-producao-audiovisual-preve-regionalizacao-e-inclusao
24/10/2024,Cármen Lúcia convida eleitores a votarem no segundo turno,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/justica/noticia/2024-10/carmen-lucia-convida-eleitores-votarem-no-segundo-turno
24/10/2024,Ex-pugilista Maguila morre aos 66 anos de idade,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/esportes/noticia/2024-10/ex-pugilista-maguila-morre-aos-66-anos-de-idade
24/10/2024,"Sem margem equatorial, Brasil pode ter que importar petróleo em 2034",NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/economia/noticia/2024-10/sem-margem-equatorial-brasil-pode-ter-que-importar-petroleo-em-2034
24/10/2024,Inscrições no Enem para pessoas privadas de liberdade terminam amanhã,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/educacao/noticia/2024-10/inscricoes-no-enem-para-pessoas-privadas-de-liberdade-terminam-amanha
24/10/2024,Azeite de oliva: 29 marcas já tiveram a venda proibida neste ano,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/azeite-de-oliva-29-marcasministerio-tiveram-a-venda-proibida-neste-ano
24/10/2024,Enem 2024: 60% das inscrições são de mulheres,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/educacao/noticia/2024-10/mulheres-sao-60-dos-inscritos-no-enem-2024
24/10/2024,Copa do Brasil: Atlético-MG decidirá título em casa contra o Flamengo,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/esportes/noticia/2024-10/copa-do-brasil-atletico-mg-decidira-titulo-em-casa-contra-o-flamengo
24/10/2024,Petrobras utiliza nova rota ferroviária para abastecer o Centro-Oeste,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/petrobras-utiliza-nova-rota-ferroviaria-para-abastecer-o-centro-oeste
24/10/2024,PF prende em Niterói dois homens em ação contra crimes eleitorais,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/politica/noticia/2024-10/pf-prende-em-niteroi-dois-homens-em-acao-contra-crimes-eleitorais
24/10/2024,Planetário de Brasília tem exposição sobre nanossatélite feito na UnB,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/planetario-de-brasilia-tem-exposicao-sobre-nanossatelite-feito-na-unb
24/10/2024,Tribunal do Rio fará audiência de custódia de 20 torcedores do Penãrol,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/tribunal-do-rio-fara-audiencia-de-custodia-de-20-torcedores-do-penarol
24/10/2024,Lewandowski assina portarias de demarcação de territórios Guarani,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/justica/noticia/2024-10/lewandowski-assina-portarias-de-demarcacao-de-territorios-guarani
24/10/2024,Sobe para três número de mortos após ação policial no Rio,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/sobe-para-tres-numero-de-mortos-apos-acao-policial-no-rio
24/10/2024,"Brics vai convidar Cuba, Bolívia, Turquia, Nigéria e mais nove países",NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/internacional/noticia/2024-10/brics-vai-convidar-cuba-bolivia-turquia-nigeria-e-mais-nove-paises
24/10/2024,Veículos da EBC terão cobertura especial das eleições neste domingo,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/justica/noticia/2024-10/veiculos-da-ebc-terao-cobertura-especial-das-eleicoes-neste-domingo
24/10/2024,Produção de petróleo da União ultrapassa 89 mil barris por dia,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/economia/noticia/2024-10/producao-de-petroleo-da-uniao-ultrapassa-89-mil-barris-por-dia
24/10/2024,Putin oferece ao Brasil novo mandato no banco dos Brics com Dilma,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/internacional/noticia/2024-10/putin-oferece-ao-brasil-novo-mandato-no-banco-dos-brics-com-dilma
24/10/2024,Polícia espanhola detém 4 pessoas por campanha de ódio contra Vini Jr,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/esportes/noticia/2024-10/policia-espanola-detem-4-pessoas-por-campanha-de-odio-contra-vini-jr
24/10/2024,"""Não mato nem uma formiga"", diz Rivaldo Barbosa ao STF",NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/justica/noticia/2024-10/nao-mato-nem-uma-formiga-diz-rivaldo-barbosa-ao-stf
24/10/2024,Regiões Norte e Nordeste lideram consumo de macarrão no país,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/regioes-norte-e-nordeste-lideram-consumo-de-macarrao-no-pais
24/10/2024,Evento em São Paulo faz intercâmbio comercial entre Brasil e África,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/evento-em-sao-paulo-faz-intercambio-comercial-entre-brasil-e-africa
24/10/2024,Cúpula ampliada do Brics pede maior protagonismo do Sul Global,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/economia/noticia/2024-10/cupula-ampliada-do-brics-pede-maior-protagonismo-do-sul-global
24/10/2024,Ação policial no Rio termina com pelo menos dois mortos,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/geral/noticia/2024-10/acao-policial-no-rio-termina-com-pelo-menos-dois-mortos
24/10/2024,Intenção de Consumo das Famílias tem quarta queda consecutiva,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/economia/noticia/2024-10/intencao-de-consumo-das-familias-tem-quarta-queda-consecutiva
24/10/2024,Real Madrid e Barcelona preparados para Superclássico no sábado,NÃO,Notícia não é sobre política brasileira,https://agenciabrasil.ebc.com.br/esportes/noticia/2024-10/real-madrid-e-barcelona-preparados-para-superclassico-no-sabado
24/10/2024,Reino Unido proibirá vapes descartáveis a partir de junho,NÃO,Não foram encontrados indicadores de instabilidade política,https://agenciabrasil.ebc.com.br/internacional/noticia/2024-10/reino-unido-proibira-vapes-descartaveis-partir-de-junho
